SampleID,Kendall tau,Kendall tau p
train11663,-0.2089225927,1.3595534975084381e-44
train14863,0.0342294209,0.2460076033
train5833,0.0943273838,0.0010942839
train14069,-0.2045108486,3.3989068266758668e-80
train7652,-0.435686536,0
train7681,0.0227034254,0.0691788054
train9394,-0.0042419127,0.7600730843
train298,0.2895995309,6.0521046813628821e-48
train7098,0.0720595282,0.0005650124
train16095,-0.0031197583,0.9409542401
train3276,0.1168292389,1.751506168017808e-05
train11533,-0.006612113,0.7403366632
train6095,0.1475363895,1.6115802733871188e-38
train3418,0.199746882,7.4416226704059741e-12
train3814,-0.0161705321,0.1620102267
train16035,0.0114137335,0.1834214575
train300,0.6333134332,0
train14485,0.0020909214,0.7860057778
train7386,0.1336922985,1.2403433734367374e-11
train4049,-0.1256533879,1.4085428707342925e-32
train4711,0.0064877751,0.7062898577
train8298,0.006781622,0.5732246469
train14737,-0.0048276979,0.6317363308
train9,0.4312623215,0
train15701,-0.2220747913,4.8158092061300592e-77
train6331,0.00326554,0.9105938123
train15404,-0.7341517187,1.5337769036736426e-182
train11989,0.1013652121,1.3373080504772871e-16
train12562,0.5361226036,1.782153125076527e-94
train3363,0.2975944773,3.8765016659105121e-45
train964,0.4202307619,1.5298876879730181e-48
train12729,-0.0348328895,0.0101679819
train13911,0.1137453002,1.4066934156200971e-11
train12005,-0.181081648,1.6078024995688242e-50
train2475,-0.1743022383,1.0266466415915822e-107
train11697,-0.0058780738,0.5923612979
train7439,-0.1864064569,2.6580094599160094e-14
train13217,-0.0019949409,0.9303352999
train10542,0.2002624546,3.786388270505881e-146
train2550,0.2572446626,1.6098191119333841e-06
train5220,0.1122103445,7.8555886438865175e-31
train14817,-0.05366105,0.0526619065
train15126,0.0090159396,0.7057397674
train11504,-0.0141177102,0.109632467
train6498,0.584146448,0
train13447,0.0314097538,0.0153601902
train1982,0.0048800746,0.8590520861
train2307,0.7030892663,0
train2651,-0.6008652535,9.6926383321199446e-105
train15951,-0.5125576906,4.7999813907016806e-288
train12578,-0.030313778,0.0813198765
train1556,0.0072777078,0.543542045
train15226,-0.178727615,2.1357871988578991e-19
train11044,-0.125443709,4.2409454934771318e-07
train8323,-0.0512513019,0.0370758758
train8839,0.0641325098,0.024781934
train2431,-0.01222401,0.3697863616
train7201,-0.0053810053,0.5275016418
train12016,0.0436021443,0.0319612828
train10275,-0.4079333917,0
train4536,-0.0124200884,0.5142788849
train9045,-0.133669505,6.1293021062371196e-22
train9397,0.3392292322,1.0743107412342635e-162
train4767,-0.4828115998,5.0050734277872005e-255
train6679,0.0094924778,0.7337825156
train12723,-0.0096836697,0.4151929727
train999,-0.0002929416,0.9879747757
train2792,-0.4577005212,2.4560132592381908e-103
train14043,-0.1324990535,2.1201061114262196e-16
train6055,0.7300013737,6.7192775354685548e-178
train15158,-0.2353802768,1.8986578792335925e-26
train9000,-0.282196593,1.2208603313717027e-33
train3962,0.4689379114,0
train8046,-0.0917366171,0.0017458417
train14668,0.0366803879,0.1903390308
train13332,-0.429147301,1.4896617049257035e-76
train14961,0.0125049008,0.6363120083
train8467,-0.011344038,0.4051357293
train8955,0.0065480429,0.7269890581
train15430,0.706502598,9.2124131130716342e-281
train5656,-0.4432361216,0
train7070,-0.0252251381,0.2681358626
train6590,0.0003982466,0.9861988293
train14132,0.0071952606,0.6425348104
train6790,-0.0177642025,0.3765000611
