SampleID,Moment 5 A,Moment 5 B,Moment 5 diff,Moment 5 ratio
train11663,0.9264474209,-3.8474473448,4.7738947657,-0.2407953476
train14863,-0.6247454822,29.0202590284,-29.6450045106,-0.0215279085
train5833,476.4337493105,16.1655513582,460.2681979523,29.4721620533
train14069,18.0917073186,18.431322294,-0.3396149754,0.9815740309
train7652,-21.6502200961,18.2746351439,-39.9248552401,-1.1847142187
train7681,44839.3866348538,1.6916347949,44837.6950000589,26506.5407564808
train9394,112.8986774796,-1.7392529082,114.6379303878,-64.9121682923
train298,5.4790569354,6.3146030528,-0.8355461174,0.8676803418
train7098,-0.2686792664,8.4026603863,-8.6713396526,-0.0319754999
train16095,0,10.8664570808,-10.8664570808,0
train3276,3.4468300259,0.5608953871,2.8859346387,6.1452279784
train11533,28.8760754649,-2.5172317588,31.3933072236,-11.4713614924
train6095,9.5191347587,15.5545262856,-6.035391527,0.6119848708
train3418,-11.3488360234,0.0152096752,-11.3640456986,-746.1589993173
train3814,0.6534944739,3.5079340216,-2.8544395477,0.1862904119
train16035,-2.1530336356,-4.7379570304,2.5849233948,0.4544223643
train300,2.9402899263,4.6427566707,-1.7024667444,0.6333069198
train14485,2398.0739221111,2.8651885655,2395.2087335457,836.9689698605
train7386,0.1808574171,11.6945206775,-11.5136632604,0.0154651415
train4049,0.6795949811,8.6708482348,-7.9912532537,0.0783769895
train4711,-11481.7126254764,17.2011320294,-11498.9137575058,-667.4974999233
train8298,44.6527830887,-24249.4280964865,24294.0808795752,-0.0018413953
train14737,43.3663782841,0.2759695843,43.0904086998,157.1418762919
train9,1.2849646522,2.0809897552,-0.796025103,0.6174776445
train15701,-8.10118469,7.9683002408,-16.0694849308,-1.0166766368
train6331,36.2616859178,-328.4137385253,364.6754244431,-0.1104146437
train15404,11.3505226191,-11.9772396835,23.3277623026,-0.9476743322
train11989,-1.6898062472,-3.2294974815,1.5396912344,0.5232412339
train12562,6.9939036319,-13.5676480095,20.5615516414,-0.5154838648
train3363,-10.0071252604,11.2924562627,-21.2995815231,-0.8861779074
train964,23.7484687069,568.3490272256,-544.6005585188,0.0417850081
train12729,-9.7299847243,41.2833117593,-51.0132964835,-0.2356880858
train13911,-0.3464017964,-5.4533138491,5.1069120527,0.0635213388
train12005,0.1471694018,3.9773234063,-3.8301540046,0.037002121
train2475,-0.1826992752,181.2520003369,-181.434699612,-0.0010079849
train11697,-2.1747812734,4.2330642424,-6.4078455158,-0.5137605169
train7439,4.9504712301,5.4708032295,-0.5203319994,0.9048892864
train13217,13.6008617125,-0.5615195158,14.1623812283,-24.2215298489
train10542,-5.4723431051,0.9734598007,-6.4458029058,-5.6215398943
train2550,87.5445801314,-3.1920401877,90.7366203191,-27.4259016127
train5220,281.8840142116,14.2702601678,267.6137540438,19.7532498285
train14817,3.9296371491,1.0627727071,2.8668644421,3.6975329937
train15126,7.3307813351,-28.0664983447,35.3972796798,-0.2611933005
train11504,-4.0962115042,5.8389342106,-9.9351457147,-0.7015341082
train6498,-1.3973100693,-20.9457677813,19.548457712,0.0667108546
train13447,-1.5073554161,40.0733056945,-41.5806611106,-0.0376149507
train1982,3.2263245654,0.2594162975,2.966908268,12.4368615122
train2307,-15.2188709329,-5.3129736145,-9.9058973184,2.8644732756
train2651,0.5014719253,13.3132685871,-12.8117966618,0.0376670779
train15951,-3.5140073634,-4.6187727131,1.1047653498,0.7608097609
train12578,-2.77635138,10.4857773909,-13.2621287709,-0.2647730613
train1556,11.5266079549,4.617558818,6.9090491368,2.4962557943
train15226,-0.0353425836,-0.1941621173,0.1588195337,0.1820261547
train11044,14.243181759,-9.349972333,23.5931540919,-1.5233394551
train8323,-2.3623441445,17.8144211752,-20.1767653197,-0.1326085266
train8839,-21.7414479133,-101.1607639399,79.4193160266,0.214919768
train2431,-10.7335850408,6.2029297735,-16.9365148143,-1.7304057007
train7201,8.2860313462,4.6300683224,3.6559630238,1.7896131913
train12016,-0.1230315542,3.1288002747,-3.2518318289,-0.039322278
train10275,-532.1610016644,-1483.4541660082,951.2931643438,0.3587310035
train4536,-150.1717954822,-1.8720186305,-148.2997768517,80.2191778636
train9045,-268.236712246,-1.8039440079,-266.4327682381,148.6945886718
train9397,15.4856867046,-27.7844702644,43.270156969,-0.5573504392
train4767,-1.5504772829,1.4984693715,-3.0489466544,-1.034707357
train6679,0.0487269394,9.2723243282,-9.2235973888,0.0052550944
train12723,53.5362432688,-28.4596957868,81.9959390556,-1.8811249308
train999,-2.4674055063,-6.9500561897,4.4826506834,0.3550195047
train2792,36.6604287018,459.7679981136,-423.1075694118,0.0797367995
train14043,-8.7651788085,4.2690860541,-13.0342648625,-2.0531745431
train6055,-2.7081469542,0.4388959997,-3.1470429538,-6.1703614434
train15158,68.8760920593,-1.8677090662,70.7438011255,-36.8773131239
train9000,-4.4348755556,-1.2268777983,-3.2079977572,3.6147655142
train3962,-111.1138611197,-1.2096524642,-109.9042086555,91.8560201459
train8046,22.7030021114,0.0522435775,22.6507585339,434.560632993
train14668,176.3018011359,-188.7142842816,365.0160854175,-0.934226054
train13332,4.4514930699,13.2761680885,-8.8246750186,0.3352995413
train14961,-4.879611012,-1.2021399657,-3.6774710463,4.0591038909
train8467,-0.7123971002,16.4033155126,-17.1157126128,-0.0434300675
train8955,46.282846021,-9.3605501961,55.643396217,-4.9444578632
train15430,2.3373249274,0.1295955521,2.2077293753,18.0355335465
train5656,4.875530869,1143.435471218,-1138.5599403489,0.0042639318
train7070,4.9293416639,-3.3338454328,8.2631870966,-1.4785753459
train6590,-4.0813450465,32.7994538109,-36.8807988574,-0.1244333235
train14132,-1.7920068517,-2.2264194118,0.4344125601,0.8048828726
train6790,40.7082135053,34.7619890671,5.9462244382,1.1710553567
train8715,9296.478287081,162.3824489407,9134.0958381403,57.2505116638
train15965,24.0843816314,11.6898461898,12.3945354416,2.0602821663
train13760,12.8467131524,-2.4287454021,15.2754585546,-5.2894441472
train5224,-4.478837768,-192.7030901139,188.2242523459,0.0232421689
train13158,14.3999182621,85.2263601077,-70.8264418456,0.1689608502
train13648,-20521.8471334971,-26149.1124386007,5627.2653051037,0.784800906
train15546,22.6396638468,0.1573596326,22.4823042142,143.8721194133
train7323,68.3544637423,-59.5810546858,127.9355184281,-1.1472516575
train844,-2.1852092419,-6.8449545019,4.65974526,0.3192437936
train1685,7.0790746146,-9.2830846755,16.3621592901,-0.7625778351
train890,1.4500408477,-1.7808956528,3.2309365005,-0.814219994
train2265,-1.5380787428,1.1799065196,-2.7179852624,-1.3035598306
train6316,2.6867815445,13.5628991952,-10.8761176507,0.1980978776
train10261,-6.1654533207,-3.0755298437,-3.089923477,2.0046800499
train11931,0.673973739,8.2842455436,-7.6102718046,0.0813560795
train14160,-64.4448674101,1.5080720548,-65.9529394649,-42.7332813486
train9217,-27.6864047163,-1.3388187346,-26.3475859818,20.6797260911
train4603,616.475322796,7.0618726434,609.4134501526,87.2962957453
train1290,41.4485176117,225.4568429195,-184.0083253078,0.1838423579
train599,-50.769650958,-326.5538678583,275.7842169003,0.1554709834
train6840,-62.6257657578,94.0273420561,-156.6531078139,-0.6660378182
train13495,17.8775743635,-0.3675164658,18.2450908293,-48.6442813496
train9777,-64741.9163791199,-3.520567443,-64738.395811677,18389.6253737823
train11682,-3.7237414726,-19746.7560133893,19743.0322719167,0.0001885748
train1108,-11.2471903525,6.6289484191,-17.8761387716,-1.6966779105
train10607,-4.8525240883,1.012262179,-5.8647862673,-4.7937423615
train2881,1.561157745,2.5924376968,-1.0312799518,0.6021968231
train3556,-0.1992242332,4.5622806019,-4.7615048351,-0.0436676852
train10942,-35.3020552614,0.0464418752,-35.3484971366,-760.1341479337
train5179,31.9750378469,-5.1028764606,37.0779143075,-6.2660811199
train1698,-11.6257455058,-22.9165788991,11.2908333933,0.5073072013
train5550,-5323.91048032,-2.6394536892,-5321.2710266308,2017.0501578208
train13953,-3.041155922,60.4666996171,-63.5078555391,-0.0502947232
train6301,17.8368645679,18.5629344927,-0.7260699249,0.9608860374
train1364,-39.4832427942,-24.5383001503,-14.9449426439,1.6090455554
train7477,89.5336967551,307.1501191259,-217.6164223707,0.2914981671
train10881,9.1399329876,-16.7725432853,25.9124762729,-0.5449342316
train11757,-7.9211296958,1.494958629,-9.4160883247,-5.2985611389
train12656,-6.1118919898,1.5268008951,-7.6386928848,-4.0030707406
train15051,1.210806446,0.4941969076,0.7166095384,2.450048609
train13937,-29.0619077814,3.6338003146,-32.695708096,-7.9976622998
train4103,15.1500688117,-18.2248565637,33.3749253755,-0.8312860383
train4091,20.618642262,8.7957004967,11.8229417653,2.3441728456
