SampleID,A type,B type
train1503,Binary,Numerical
train13503,Numerical,Numerical
train8937,Numerical,Numerical
train14968,Binary,Numerical
train8667,Numerical,Numerical
train12418,Numerical,Numerical
train12582,Numerical,Numerical
train764,Binary,Numerical
train2713,Numerical,Categorical
train10981,Numerical,Binary
train16085,Numerical,Numerical
train13550,Numerical,Numerical
train8145,Numerical,Numerical
train10537,Numerical,Numerical
train4732,Numerical,Numerical
train4891,Numerical,Numerical
train2931,Numerical,Numerical
train8686,Numerical,Numerical
train6808,Numerical,Numerical
train11458,Numerical,Numerical
train3218,Numerical,Numerical
train12066,Numerical,Binary
train14066,Numerical,Binary
train5290,Numerical,Numerical
train4776,Numerical,Numerical
train5710,Numerical,Numerical
train1792,Numerical,Numerical
train15869,Numerical,Binary
train13777,Numerical,Numerical
train14580,Binary,Numerical
train10188,Numerical,Binary
train15386,Categorical,Numerical
train15206,Binary,Numerical
train7772,Numerical,Numerical
train5122,Numerical,Numerical
train2690,Numerical,Numerical
train5983,Numerical,Numerical
train5506,Numerical,Numerical
train8375,Numerical,Numerical
train13988,Numerical,Numerical
train12437,Numerical,Numerical
train10438,Numerical,Categorical
train15230,Numerical,Categorical
train1738,Numerical,Binary
train6387,Numerical,Numerical
train14830,Numerical,Numerical
train13964,Numerical,Numerical
train3328,Numerical,Categorical
train8327,Numerical,Numerical
train198,Numerical,Numerical
train13585,Binary,Numerical
train7813,Numerical,Numerical
train15532,Categorical,Numerical
train6094,Numerical,Numerical
train9926,Numerical,Numerical
train4552,Numerical,Numerical
train3088,Numerical,Numerical
train5968,Numerical,Numerical
train13378,Numerical,Numerical
train16066,Numerical,Numerical
train10068,Binary,Binary
train6089,Numerical,Numerical
train8807,Numerical,Numerical
train6044,Numerical,Numerical
train8045,Numerical,Numerical
train3764,Numerical,Categorical
train12741,Numerical,Numerical
train8117,Numerical,Numerical
train2861,Numerical,Binary
train4663,Numerical,Numerical
train14787,Categorical,Numerical
train2968,Numerical,Categorical
train9343,Numerical,Numerical
train13779,Categorical,Numerical
train5845,Numerical,Numerical
train5468,Numerical,Numerical
train9646,Numerical,Numerical
train9192,Numerical,Numerical
train11771,Numerical,Numerical
train3499,Binary,Numerical
train1356,Numerical,Numerical
train15381,Binary,Numerical
train14844,Numerical,Categorical
train13411,Numerical,Categorical
train12152,Numerical,Numerical
train4722,Numerical,Numerical
train15823,Numerical,Categorical
train14077,Numerical,Numerical
train11541,Numerical,Numerical
train6908,Numerical,Numerical
train14533,Binary,Categorical
train5653,Numerical,Numerical
train7434,Numerical,Numerical
train10685,Numerical,Numerical
train3560,Numerical,Numerical
train13440,Numerical,Numerical
train12928,Numerical,Numerical
train2510,Numerical,Numerical
train15907,Numerical,Numerical
train4799,Numerical,Numerical
train13661,Numerical,Numerical
train2531,Numerical,Numerical
train11758,Categorical,Numerical
train2273,Categorical,Numerical
train11451,Binary,Binary
train566,Numerical,Numerical
train2757,Numerical,Numerical
train15265,Numerical,Numerical
train15046,Categorical,Numerical
train15362,Numerical,Numerical
train12699,Numerical,Numerical
train625,Binary,Numerical
train8977,Numerical,Numerical
train9395,Numerical,Numerical
train14672,Numerical,Numerical
train2090,Numerical,Numerical
train15808,Categorical,Numerical
train10883,Numerical,Numerical
train12138,Numerical,Numerical
train10186,Numerical,Numerical
train11186,Numerical,Binary
train10426,Numerical,Numerical
train7092,Numerical,Numerical
train10341,Numerical,Numerical
train12654,Categorical,Categorical
train6291,Numerical,Numerical
train15857,Binary,Numerical
train9435,Numerical,Numerical
train9618,Numerical,Numerical
train15648,Categorical,Numerical
train8824,Numerical,Numerical
train10038,Numerical,Numerical
train5463,Numerical,Numerical
train14915,Numerical,Binary
train3196,Numerical,Numerical
train9390,Numerical,Numerical
train13686,Categorical,Binary
train1075,Numerical,Categorical
