SampleID,Number of samples,Max A,Max B,Min A,Min B,Mean A,Mean B,Median A,Median B,Sd A,Sd B
train11663,2002.0,34310.0,35652.0,-30021.0,-42940.0,0.000999000999000999,0.005994005994005994,19.451951951945375,220.69669669669838,9997.4955943895893,9997.5009041577614
train14863,514.0,1.0,55510.0,0.0,-19893.0,0.57392996108949412,0.0077821011673151752,0.99962844200132328,-1604.5646646646687,0.49450415655816865,9990.2696167572794
train5833,536.0,119013.0,40926.0,-27667.0,-24892.0,0.005597014925373134,-0.022388059701492536,-504.03703703704196,-1223.2147147147152,9990.6432144109349,9990.667770636257
train14069,3825.0,40542.0,33400.0,-19624.0,-5135.0,-0.0062745098039215684,0.10588235294117647,-3005.1042807513368,-4884.5986664630736,9998.6882934464411,9998.6399767732564
train7652,5497.0,29961.0,68047.0,-62579.0,-31942.0,-0.0063671093323631068,0.00036383481899217757,751.61511511511617,-952.34720927824139,9999.0898668853715,9999.0867368676463
train7681,2851.0,415709.0,38025.0,-4442.0,-42445.0,-0.0031567870922483338,0.003858295334970186,-1227.490523387238,-112.5875875875922,9998.2502555653045,9998.2535443195593
train9394,2307.0,88663.0,32480.0,-26804.0,-41970.0,0.0069354139575205894,-0.0078023407022106634,-505.10970970971027,241.93276609943797,9997.8265511031022,9997.8301591248455
train298,1125.0,25139.0,1.0,-12122.0,0.0,0.020444444444444446,0.20088888888888889,-4252.0590590590591,0.00012582103794562074,9995.5510463641276,0.40066512602156823
train7098,1021.0,33841.0,43889.0,-33477.0,-18348.0,0.010773751224289911,0.013712047012732615,165.15365365365324,-1547.955622288958,9995.0903199666736,9995.1122163408472
train16095,254.0,1.0,39339.0,0.0,-12295.0,0.5,-0.031496062992125984,0.0005005005005005005,652.26426426426406,0.5,9980.2991208838557
train3276,604.0,1.0,17.0,0.0,1.0,0.26158940397350994,8.2831125827814578,0.00017730735219524457,6.001591755690117,0.43950015665786923,5.4137713392008822
train11533,1120.0,51441.0,8.0,-12516.0,1.0,0.011607142857142858,5.3723214285714285,-3341.7876876876862,6.9965251476879384,9995.5311739282934,2.6912128778352931
train6095,3443.0,57183.0,77580.0,-24894.0,-44819.0,-0.0060993319779262273,0.0098751089166424638,-1037.0341591591555,-157.2418940679824,9998.5520316909133,9998.5516899741779
train3418,526.0,15.0,1.0,1.0,0.0,10.785171102661597,0.49809885931558934,11.998648283319815,0.00049670883004216348,2.9055880129092562,0.4999963856510346
