SampleID,A->B,B->A,A-B,A|B
train1,0.167775,0.012023,0.777810,0.042391
train2,0.391129,0.004414,0.570899,0.033559
train3,0.509991,0.080514,0.396044,0.013451
train4,0.046956,0.326735,0.493951,0.132358
train5,0.523840,0.175652,0.244268,0.056240
train6,0.380575,0.498406,0.074446,0.046574
train7,0.023287,0.269415,0.290388,0.416910
train8,0.226940,0.004520,0.324135,0.444405
train9,0.333230,0.327913,0.002679,0.336178
train10,0.121263,0.452088,0.263287,0.163362
train11,0.280941,0.166530,0.077840,0.474689
train12,0.086797,0.008594,0.279088,0.625521
train13,0.330220,0.309968,0.041112,0.318700
train14,0.493684,0.004160,0.113679,0.388478
train15,0.199464,0.186291,0.507697,0.106548
train16,0.372130,0.237562,0.076854,0.313455
train17,0.063144,0.208868,0.264050,0.463937
train18,0.157953,0.279611,0.415560,0.146876
train19,0.427904,0.200327,0.059356,0.312414
train20,0.235979,0.473504,0.066346,0.224172
train21,0.028473,0.159195,0.430640,0.381692
train22,0.138206,0.558910,0.088680,0.214204
train23,0.431089,0.217282,0.096681,0.254949
train24,0.579444,0.094132,0.138596,0.187828
train25,0.372384,0.151208,0.114180,0.362229
train26,0.156267,0.158433,0.665754,0.019545
train27,0.312208,0.148692,0.226686,0.312413
train28,0.199321,0.325843,0.174884,0.299952
train29,0.389829,0.395381,0.080740,0.134049
train30,0.087546,0.218625,0.007488,0.686341
train31,0.241817,0.475905,0.020513,0.261764
train32,0.588547,0.105247,0.187828,0.118378
train33,0.549686,0.161119,0.041956,0.247240
train34,0.808175,0.111820,0.031239,0.048766
train35,0.244578,0.240820,0.454357,0.060245
train36,0.135054,0.038013,0.560248,0.266685
train37,0.313465,0.142304,0.014014,0.530217
train38,0.233516,0.538806,0.088511,0.139166
train39,0.340183,0.502565,0.044075,0.113178
train40,0.401498,0.406622,0.088910,0.102971
train41,0.095075,0.867090,0.035237,0.002599
train42,0.276552,0.009813,0.646986,0.066650
train43,0.157868,0.204195,0.374178,0.263759
train44,0.081201,0.242809,0.522442,0.153548
train45,0.196331,0.449549,0.019151,0.334969
train46,0.116814,0.328983,0.498049,0.056155
train47,0.037336,0.365008,0.257247,0.340409
train48,0.090379,0.363419,0.143247,0.402955
train49,0.314405,0.404248,0.167121,0.114225
train50,0.367730,0.102069,0.151066,0.379136
train51,0.007009,0.031448,0.514961,0.446582
train52,0.177399,0.402881,0.228382,0.191338
train53,0.385786,0.146746,0.134935,0.332533
train54,0.184259,0.074270,0.243168,0.498303
train55,0.614832,0.033459,0.282938,0.068771
train56,0.008479,0.405198,0.324392,0.261931
train57,0.193291,0.072101,0.217917,0.516691
train58,0.520259,0.047122,0.274495,0.158124
train59,0.135845,0.108940,0.005879,0.749335
train60,0.096848,0.460184,0.371672,0.071296
train61,0.174517,0.379030,0.412937,0.033515
