SampleID,A type,B type
train547,Numerical,Numerical
train607,Categorical,Categorical
train3709,Categorical,Categorical
train5657,Numerical,Numerical
train5573,Numerical,Numerical
train76,Categorical,Numerical
train7083,Numerical,Numerical
train1296,Numerical,Numerical
train6315,Categorical,Numerical
train4098,Numerical,Numerical
train6583,Binary,Binary
train3011,Numerical,Numerical
train7518,Binary,Numerical
train6925,Numerical,Numerical
train6381,Numerical,Binary
train2463,Categorical,Categorical
train2896,Numerical,Numerical
train3341,Numerical,Numerical
train2658,Numerical,Numerical
train1420,Numerical,Categorical
train678,Numerical,Numerical
train1760,Numerical,Numerical
train6259,Categorical,Numerical
train5147,Numerical,Numerical
train6499,Binary,Numerical
train5029,Numerical,Categorical
train5061,Numerical,Numerical
train3836,Numerical,Numerical
train6825,Binary,Numerical
train119,Binary,Numerical
train7552,Binary,Numerical
train4180,Numerical,Numerical
train802,Numerical,Numerical
train3838,Binary,Categorical
train169,Numerical,Binary
train4756,Numerical,Numerical
train2682,Numerical,Categorical
train2798,Numerical,Categorical
train4786,Numerical,Numerical
train2057,Numerical,Numerical
train188,Numerical,Binary
train1324,Numerical,Numerical
train1341,Numerical,Numerical
train1908,Numerical,Numerical
train271,Numerical,Numerical
train1129,Numerical,Numerical
train4329,Categorical,Categorical
train6093,Binary,Numerical
train4438,Numerical,Numerical
train42,Numerical,Numerical
train6217,Numerical,Numerical
train6022,Numerical,Numerical
train2231,Numerical,Numerical
train5940,Numerical,Binary
train6419,Binary,Numerical
train4603,Numerical,Numerical
train7513,Numerical,Numerical
train994,Numerical,Numerical
train1826,Categorical,Numerical
train4071,Numerical,Numerical
train1291,Numerical,Categorical
train3324,Numerical,Numerical
train3441,Numerical,Numerical
train5282,Numerical,Numerical
train4323,Numerical,Numerical
train7486,Numerical,Categorical
train3482,Numerical,Numerical
train930,Binary,Numerical
train4862,Numerical,Numerical
train629,Numerical,Numerical
train5658,Binary,Binary
train1055,Numerical,Numerical
train1176,Numerical,Numerical
train3587,Numerical,Numerical
train694,Categorical,Numerical
train4516,Numerical,Numerical
train5581,Numerical,Numerical
train3312,Categorical,Numerical
train3269,Categorical,Numerical
train301,Categorical,Numerical
train4222,Numerical,Numerical
train3030,Numerical,Binary
train3699,Numerical,Numerical
train1212,Categorical,Binary
train7244,Numerical,Categorical
train4609,Binary,Numerical
train1140,Categorical,Numerical
train5521,Categorical,Numerical
train2685,Numerical,Numerical
train6841,Numerical,Categorical
train7133,Numerical,Numerical
train3873,Numerical,Numerical
train7620,Numerical,Numerical
train7207,Numerical,Numerical
train6060,Numerical,Categorical
train4129,Numerical,Numerical
train334,Categorical,Numerical
train1910,Numerical,Numerical
train1873,Categorical,Numerical
train5343,Numerical,Binary
train5401,Numerical,Numerical
train891,Numerical,Numerical
train3009,Numerical,Numerical
train5227,Numerical,Numerical
train6002,Numerical,Categorical
train1403,Numerical,Categorical
train6525,Numerical,Numerical
train6476,Numerical,Binary
train367,Numerical,Numerical
train1376,Binary,Numerical
train1186,Categorical,Binary
train4321,Binary,Numerical
train2432,Categorical,Binary
train2323,Numerical,Numerical
train3058,Categorical,Numerical
train4155,Numerical,Binary
train1923,Numerical,Numerical
train1803,Numerical,Binary
train7755,Binary,Binary
train5242,Binary,Binary
train1067,Categorical,Numerical
train6347,Binary,Numerical
train2079,Numerical,Numerical
train3464,Categorical,Numerical
train5724,Numerical,Numerical
train2020,Categorical,Numerical
train3667,Numerical,Numerical
train6076,Numerical,Numerical
train1872,Numerical,Numerical
train1255,Numerical,Categorical
train4408,Categorical,Binary
train5299,Numerical,Numerical
train6887,Binary,Binary
train2313,Numerical,Numerical
train5759,Numerical,Numerical
train2387,Numerical,Numerical
train1334,Numerical,Numerical
train4038,Numerical,Numerical
train7346,Categorical,Numerical
train4422,Numerical,Numerical
train7061,Numerical,Numerical
train3515,Binary,Numerical
train6410,Numerical,Numerical
train2794,Numerical,Numerical
train7532,Binary,Binary
train2386,Categorical,Binary
train6766,Numerical,Numerical
train7042,Numerical,Numerical
train6030,Numerical,Numerical
train3916,Numerical,Numerical
train3963,Numerical,Binary
train6136,Numerical,Numerical
train4926,Numerical,Numerical
train3004,Numerical,Numerical
train7655,Binary,Numerical
train4272,Numerical,Numerical
train7623,Numerical,Numerical
train2310,Numerical,Numerical
train1867,Numerical,Numerical
train3088,Numerical,Categorical
train4697,Numerical,Numerical
train4354,Numerical,Numerical
train6859,Numerical,Numerical
train6804,Numerical,Numerical
train6412,Numerical,Numerical
train2871,Numerical,Binary
train3927,Numerical,Binary
train5271,Categorical,Numerical
train6414,Binary,Numerical
train7312,Binary,Categorical
train58,Binary,Numerical
train7442,Numerical,Numerical
train1853,Numerical,Numerical
train7123,Binary,Categorical
train2973,Numerical,Numerical
train2415,Categorical,Numerical
train2291,Categorical,Categorical
train6666,Numerical,Numerical
train7068,Binary,Numerical
train951,Categorical,Numerical
train7818,Numerical,Numerical
train5205,Numerical,Categorical
train7092,Numerical,Numerical
train4138,Numerical,Numerical
train2075,Numerical,Numerical
train3798,Numerical,Numerical
train2040,Numerical,Numerical
train4113,Categorical,Binary
train4046,Numerical,Numerical
train5104,Numerical,Numerical
train5953,Numerical,Binary
train6218,Numerical,Numerical
train1283,Numerical,Numerical
train2041,Numerical,Numerical
train4373,Numerical,Categorical
train2747,Numerical,Binary
train3158,Categorical,Categorical
train378,Numerical,Binary
train7149,Categorical,Binary
train4081,Numerical,Binary
train687,Numerical,Numerical
train5825,Numerical,Categorical
train6374,Numerical,Numerical
train3761,Binary,Numerical
train662,Categorical,Numerical
train7141,Binary,Numerical
train4364,Numerical,Numerical
train1901,Numerical,Numerical
train5769,Binary,Numerical
train2595,Numerical,Numerical
train2614,Numerical,Numerical
train1311,Numerical,Numerical
train2757,Numerical,Numerical
train5353,Numerical,Numerical
train2335,Numerical,Binary
train1002,Numerical,Numerical
train5853,Numerical,Numerical
train815,Numerical,Numerical
train1207,Numerical,Numerical
train7579,Binary,Categorical
train210,Numerical,Binary
train3457,Numerical,Numerical
train4502,Categorical,Numerical
train101,Numerical,Binary
train6354,Categorical,Numerical
train3540,Binary,Numerical
train4191,Numerical,Categorical
train7255,Numerical,Binary
train1278,Categorical,Numerical
train2409,Numerical,Numerical
train7827,Numerical,Numerical
train4893,Numerical,Numerical
train1557,Numerical,Categorical
train3934,Categorical,Categorical
train5136,Binary,Numerical
train6943,Numerical,Numerical
train6383,Binary,Binary
train1008,Numerical,Numerical
train1335,Binary,Numerical
train1427,Binary,Categorical
train1845,Numerical,Categorical
train5351,Binary,Numerical
train4110,Numerical,Numerical
train2949,Categorical,Numerical
train1828,Numerical,Numerical
train4930,Numerical,Numerical
train531,Numerical,Numerical
train5426,Numerical,Numerical
train4293,Binary,Numerical
train5155,Numerical,Numerical
train6540,Categorical,Binary
train3014,Numerical,Numerical
train1419,Categorical,Numerical
train2454,Numerical,Binary
train4771,Numerical,Numerical
train5193,Numerical,Numerical
train1081,Numerical,Numerical
train3862,Binary,Numerical
train173,Numerical,Numerical
train379,Categorical,Numerical
train6192,Categorical,Numerical
train5490,Categorical,Categorical
train3901,Numerical,Numerical
train2918,Numerical,Numerical
train5694,Numerical,Numerical
train6553,Categorical,Numerical
train4549,Numerical,Numerical
train7322,Categorical,Numerical
train4816,Numerical,Numerical
train3076,Numerical,Numerical
train5495,Categorical,Binary
train2540,Numerical,Numerical
train5244,Numerical,Numerical
train4683,Binary,Numerical
train92,Categorical,Numerical
train2760,Categorical,Binary
train761,Numerical,Binary
train7615,Categorical,Binary
train3692,Numerical,Numerical
train2510,Numerical,Numerical
train7779,Numerical,Numerical
train5844,Numerical,Numerical
train7580,Categorical,Numerical
train1506,Numerical,Binary
