SampleID,Target [1 for A->B; -1 otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train547,0,3
train607,0,3
train3709,0,4
train5657,0,3
train5573,1,1
train76,-1,2
train7083,-1,2
train1296,1,1
train6315,0,4
train4098,0,4
train6583,1,1
train3011,0,3
train7518,0,3
train6925,-1,2
train6381,0,3
train2463,0,3
train2896,0,4
train3341,0,3
train2658,1,1
train1420,-1,2
train678,-1,2
train1760,1,1
train6259,0,4
train5147,1,1
train6499,0,3
train5029,0,4
train5061,-1,2
train3836,-1,2
train6825,-1,2
train119,0,4
train7552,0,3
train4180,1,1
train802,0,3
train3838,1,1
train169,0,4
train4756,0,4
train2682,0,4
train2798,0,4
train4786,-1,2
train2057,0,4
train188,-1,2
train1324,0,4
train1341,0,3
train1908,-1,2
train271,1,1
train1129,1,1
train4329,0,4
train6093,0,3
train4438,1,1
train42,0,4
train6217,0,3
train6022,0,3
train2231,-1,2
train5940,0,3
train6419,-1,2
train4603,1,1
train7513,1,1
train994,0,4
train1826,-1,2
train4071,1,1
train1291,0,4
train3324,-1,2
train3441,1,1
train5282,0,3
train4323,-1,2
train7486,1,1
train3482,1,1
train930,0,3
train4862,-1,2
train629,0,3
train5658,-1,2
train1055,0,3
train1176,1,1
train3587,-1,2
train694,0,3
train4516,1,1
train5581,0,3
train3312,0,4
train3269,-1,2
train301,1,1
train4222,0,4
train3030,0,3
train3699,-1,2
train1212,1,1
train7244,-1,2
train4609,0,3
train1140,0,3
train5521,1,1
train2685,0,4
train6841,1,1
train7133,-1,2
train3873,-1,2
train7620,0,4
train7207,0,3
train6060,0,3
train4129,0,4
train334,1,1
train1910,0,4
train1873,-1,2
train5343,0,4
train5401,0,3
train891,1,1
train3009,0,4
train5227,0,3
train6002,0,4
train1403,0,4
train6525,1,1
train6476,1,1
train367,0,4
train1376,-1,2
train1186,0,3
train4321,0,3
train2432,0,3
train2323,1,1
train3058,0,3
train4155,0,3
train1923,0,4
train1803,0,4
train7755,0,3
train5242,0,4
train1067,0,4
train6347,1,1
train2079,-1,2
train3464,-1,2
train5724,0,3
train2020,0,3
train3667,0,4
train6076,0,3
train1872,1,1
train1255,0,3
train4408,-1,2
train5299,-1,2
train6887,0,3
train2313,-1,2
train5759,-1,2
train2387,0,3
train1334,0,4
train4038,0,3
train7346,-1,2
train4422,0,4
train7061,0,3
train3515,-1,2
train6410,-1,2
train2794,1,1
train7532,1,1
train2386,-1,2
train6766,-1,2
train7042,0,4
train6030,1,1
train3916,0,4
train3963,-1,2
train6136,0,4
train4926,1,1
train3004,0,3
train7655,0,4
train4272,0,3
train7623,1,1
train2310,1,1
train1867,0,3
train3088,1,1
train4697,0,3
train4354,-1,2
train6859,1,1
train6804,-1,2
train6412,-1,2
train2871,-1,2
train3927,0,4
train5271,1,1
train6414,0,3
train7312,-1,2
train58,-1,2
train7442,0,3
train1853,-1,2
train7123,0,3
train2973,0,4
train2415,0,4
train2291,0,4
train6666,0,4
train7068,0,4
train951,-1,2
train7818,0,4
train5205,0,4
train7092,0,4
train4138,1,1
train2075,1,1
train3798,-1,2
train2040,-1,2
train4113,0,3
train4046,1,1
train5104,-1,2
train5953,-1,2
train6218,0,4
train1283,0,4
train2041,-1,2
train4373,0,4
train2747,1,1
train3158,-1,2
train378,1,1
train7149,0,4
train4081,0,4
train687,0,4
train5825,1,1
train6374,0,3
train3761,0,3
train662,0,4
train7141,-1,2
train4364,0,4
train1901,-1,2
train5769,0,4
train2595,0,3
train2614,-1,2
train1311,0,3
train2757,0,4
train5353,0,4
train2335,-1,2
train1002,1,1
train5853,-1,2
train815,0,4
train1207,-1,2
train7579,-1,2
train210,0,3
train3457,-1,2
train4502,0,4
train101,0,3
train6354,0,4
train3540,1,1
train4191,0,4
train7255,1,1
train1278,0,3
train2409,0,4
train7827,0,4
train4893,0,4
train1557,0,4
train3934,0,4
train5136,0,3
train6943,1,1
train6383,-1,2
train1008,1,1
train1335,0,3
train1427,-1,2
train1845,0,3
train5351,-1,2
train4110,-1,2
train2949,1,1
train1828,-1,2
train4930,0,3
train531,-1,2
train5426,-1,2
train4293,1,1
train5155,1,1
train6540,0,3
train3014,-1,2
train1419,-1,2
train2454,0,4
train4771,0,3
train5193,0,4
train1081,-1,2
train3862,0,4
train173,0,3
train379,1,1
train6192,0,4
train5490,0,3
train3901,0,3
train2918,0,3
train5694,0,3
train6553,1,1
train4549,0,4
train7322,0,3
train4816,1,1
train3076,-1,2
train5495,1,1
train2540,1,1
train5244,-1,2
