SampleID,A type,B type
train1,Numerical,Numerical
train2,Numerical,Categorical
train3,Numerical,Binary
train4,Numerical,Numerical
train5,Numerical,Numerical
train6,Numerical,Categorical
train7,Binary,Numerical
train8,Numerical,Numerical
train9,Numerical,Numerical
train10,Numerical,Categorical
train11,Numerical,Numerical
train12,Numerical,Numerical
train13,Binary,Numerical
train14,Categorical,Numerical
train15,Categorical,Categorical
train16,Numerical,Numerical
train17,Numerical,Numerical
train18,Numerical,Numerical
train19,Numerical,Binary
train20,Numerical,Numerical
train21,Numerical,Categorical
train22,Categorical,Numerical
train23,Numerical,Binary
train24,Numerical,Numerical
train25,Numerical,Categorical
train26,Categorical,Numerical
train27,Binary,Numerical
train28,Numerical,Numerical
train29,Numerical,Numerical
train30,Numerical,Numerical
train31,Numerical,Numerical
train32,Binary,Binary
train33,Numerical,Numerical
train34,Numerical,Numerical
train35,Numerical,Numerical
train36,Binary,Categorical
train37,Numerical,Numerical
train38,Numerical,Categorical
train39,Numerical,Numerical
train40,Numerical,Categorical
train41,Numerical,Binary
train42,Numerical,Numerical
train43,Numerical,Categorical
train44,Numerical,Numerical
train45,Numerical,Numerical
train46,Numerical,Numerical
train47,Numerical,Categorical
train48,Categorical,Numerical
train49,Numerical,Numerical
train50,Numerical,Numerical
train51,Numerical,Numerical
train52,Numerical,Numerical
train53,Categorical,Numerical
train54,Categorical,Numerical
train55,Categorical,Numerical
train56,Numerical,Numerical
train57,Categorical,Binary
train58,Binary,Numerical
train59,Numerical,Numerical
train60,Categorical,Numerical
train61,Numerical,Categorical
train62,Numerical,Categorical
train63,Categorical,Binary
train64,Numerical,Categorical
train65,Numerical,Numerical
train66,Numerical,Binary
train67,Numerical,Numerical
train68,Numerical,Numerical
train69,Numerical,Numerical
train70,Numerical,Numerical
train71,Binary,Numerical
train72,Numerical,Categorical
train73,Numerical,Numerical
train74,Numerical,Numerical
train75,Numerical,Categorical
train76,Categorical,Numerical
train77,Categorical,Numerical
train78,Binary,Numerical
train79,Numerical,Categorical
train80,Numerical,Numerical
train81,Categorical,Numerical
train82,Categorical,Numerical
train83,Binary,Numerical
train84,Numerical,Numerical
train85,Categorical,Binary
train86,Numerical,Numerical
train87,Categorical,Categorical
train88,Numerical,Numerical
train89,Numerical,Binary
train90,Categorical,Numerical
train91,Numerical,Numerical
train92,Categorical,Numerical
train93,Numerical,Numerical
train94,Binary,Categorical
train95,Numerical,Binary
train96,Categorical,Numerical
train97,Numerical,Numerical
train98,Binary,Categorical
train99,Numerical,Numerical
train100,Numerical,Numerical
train101,Numerical,Binary
train102,Numerical,Numerical
train103,Numerical,Binary
train104,Numerical,Categorical
train105,Numerical,Numerical
train106,Categorical,Numerical
train107,Numerical,Numerical
train108,Numerical,Numerical
train109,Binary,Numerical
train110,Numerical,Numerical
train111,Numerical,Numerical
train112,Numerical,Numerical
train113,Numerical,Numerical
train114,Numerical,Numerical
train115,Numerical,Numerical
train116,Numerical,Binary
train117,Numerical,Binary
train118,Numerical,Binary
train119,Binary,Numerical
train120,Categorical,Categorical
train121,Binary,Numerical
train122,Numerical,Numerical
train123,Numerical,Numerical
train124,Numerical,Numerical
train125,Numerical,Numerical
train126,Numerical,Numerical
train127,Numerical,Numerical
train128,Numerical,Numerical
train129,Categorical,Numerical
train130,Categorical,Numerical
train131,Numerical,Numerical
train132,Categorical,Binary
train133,Categorical,Binary
train134,Numerical,Categorical
train135,Numerical,Categorical
train136,Numerical,Numerical
train137,Numerical,Numerical
train138,Numerical,Numerical
train139,Categorical,Numerical
train140,Numerical,Numerical
train141,Numerical,Numerical
train142,Numerical,Numerical
train143,Numerical,Categorical
train144,Numerical,Numerical
train145,Numerical,Numerical
train146,Numerical,Numerical
train147,Numerical,Numerical
train148,Numerical,Numerical
train149,Categorical,Numerical
train150,Categorical,Binary
train151,Categorical,Numerical
train152,Numerical,Binary
train153,Numerical,Numerical
train154,Numerical,Numerical
train155,Numerical,Numerical
train156,Numerical,Numerical
train157,Categorical,Numerical
train158,Numerical,Numerical
train159,Numerical,Numerical
train160,Numerical,Numerical
train161,Numerical,Binary
train162,Numerical,Numerical
train163,Numerical,Numerical
train164,Binary,Numerical
train165,Numerical,Numerical
train166,Numerical,Numerical
train167,Numerical,Numerical
train168,Binary,Numerical
train169,Numerical,Binary
train170,Numerical,Numerical
train171,Numerical,Numerical
train172,Numerical,Numerical
train173,Numerical,Numerical
train174,Numerical,Numerical
train175,Numerical,Binary
train176,Numerical,Numerical
train177,Numerical,Binary
train178,Numerical,Categorical
train179,Numerical,Numerical
train180,Numerical,Categorical
train181,Numerical,Numerical
train182,Numerical,Categorical
train183,Numerical,Numerical
train184,Binary,Numerical
train185,Numerical,Numerical
train186,Categorical,Numerical
train187,Numerical,Numerical
train188,Numerical,Binary
train189,Numerical,Numerical
train190,Numerical,Numerical
train191,Numerical,Numerical
train192,Numerical,Numerical
train193,Categorical,Numerical
train194,Numerical,Numerical
train195,Binary,Binary
train196,Numerical,Numerical
train197,Numerical,Numerical
train198,Numerical,Categorical
train199,Numerical,Binary
train200,Numerical,Numerical
train201,Numerical,Numerical
train202,Numerical,Numerical
train203,Numerical,Numerical
train204,Numerical,Numerical
train205,Numerical,Numerical
train206,Categorical,Categorical
train207,Numerical,Numerical
train208,Numerical,Categorical
train209,Numerical,Numerical
train210,Numerical,Binary
train211,Numerical,Numerical
train212,Numerical,Numerical
train213,Categorical,Binary
train214,Numerical,Categorical
train215,Numerical,Numerical
train216,Numerical,Numerical
train217,Numerical,Numerical
train218,Numerical,Numerical
train219,Numerical,Numerical
train220,Binary,Numerical
train221,Numerical,Numerical
train222,Binary,Numerical
train223,Categorical,Numerical
train224,Numerical,Numerical
train225,Categorical,Numerical
train226,Categorical,Numerical
train227,Numerical,Numerical
train228,Numerical,Numerical
train229,Numerical,Numerical
train230,Numerical,Binary
train231,Numerical,Numerical
train232,Numerical,Numerical
train233,Binary,Numerical
train234,Categorical,Numerical
train235,Numerical,Numerical
train236,Numerical,Numerical
train237,Numerical,Numerical
train238,Numerical,Binary
train239,Binary,Binary
train240,Numerical,Categorical
train241,Numerical,Numerical
train242,Numerical,Numerical
train243,Numerical,Numerical
train244,Numerical,Numerical
train245,Binary,Numerical
train246,Numerical,Numerical
train247,Numerical,Binary
train248,Numerical,Numerical
train249,Binary,Categorical
train250,Numerical,Binary
train251,Numerical,Numerical
train252,Numerical,Numerical
train253,Numerical,Numerical
train254,Numerical,Numerical
train255,Numerical,Numerical
train256,Numerical,Numerical
train257,Categorical,Numerical
train258,Numerical,Numerical
train259,Numerical,Numerical
train260,Numerical,Numerical
train261,Numerical,Numerical
train262,Numerical,Numerical
train263,Numerical,Numerical
train264,Categorical,Numerical
train265,Binary,Binary
train266,Numerical,Binary
train267,Numerical,Binary
train268,Numerical,Numerical
train269,Numerical,Categorical
train270,Numerical,Numerical
train271,Numerical,Numerical
train272,Numerical,Numerical
train273,Numerical,Numerical
train274,Numerical,Categorical
train275,Categorical,Numerical
train276,Binary,Binary
train277,Numerical,Binary
train278,Categorical,Binary
train279,Categorical,Numerical
train280,Binary,Binary
train281,Numerical,Numerical
train282,Numerical,Binary
train283,Numerical,Binary
train284,Numerical,Numerical
train285,Numerical,Numerical
train286,Numerical,Numerical
train287,Numerical,Categorical
train288,Numerical,Numerical
train289,Binary,Numerical
train290,Numerical,Numerical
train291,Numerical,Numerical
train292,Categorical,Binary
train293,Binary,Numerical
train294,Binary,Binary
train295,Numerical,Binary
train296,Numerical,Numerical
train297,Numerical,Numerical
train298,Categorical,Binary
train299,Numerical,Numerical
train300,Binary,Numerical
train301,Categorical,Numerical
train302,Numerical,Binary
train303,Numerical,Numerical
train304,Numerical,Numerical
train305,Categorical,Numerical
train306,Binary,Numerical
train307,Numerical,Numerical
train308,Numerical,Numerical
train309,Numerical,Numerical
train310,Numerical,Numerical
train311,Categorical,Numerical
train312,Binary,Numerical
train313,Numerical,Binary
train314,Numerical,Numerical
train315,Numerical,Numerical
train316,Numerical,Numerical
train317,Numerical,Numerical
train318,Categorical,Numerical
train319,Numerical,Numerical
train320,Numerical,Numerical
train321,Binary,Numerical
train322,Numerical,Binary
train323,Numerical,Numerical
train324,Numerical,Numerical
train325,Numerical,Categorical
train326,Numerical,Numerical
train327,Numerical,Binary
train328,Numerical,Numerical
train329,Numerical,Categorical
train330,Numerical,Binary
train331,Numerical,Numerical
train332,Numerical,Categorical
train333,Numerical,Numerical
train334,Categorical,Numerical
train335,Numerical,Numerical
train336,Numerical,Numerical
train337,Binary,Categorical
train338,Numerical,Binary
train339,Numerical,Numerical
train340,Categorical,Numerical
train341,Numerical,Numerical
train342,Numerical,Numerical
train343,Numerical,Numerical
train344,Numerical,Numerical
train345,Numerical,Numerical
train346,Numerical,Categorical
train347,Numerical,Numerical
train348,Numerical,Numerical
train349,Numerical,Numerical
train350,Categorical,Numerical
