SampleID,Target [1 for A->B; -1 otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train1,0,3
train2,0,3
train3,1,1
train4,1,1
train5,-1,2
train6,0,4
train7,0,3
train8,-1,2
train9,0,3
train10,-1,2
train11,0,3
train12,0,4
train13,0,4
train14,0,4
train15,1,1
train16,1,1
train17,-1,2
train18,-1,2
train19,0,4
train20,-1,2
train21,-1,2
train22,0,4
train23,0,3
train24,-1,2
train25,0,3
train26,1,1
train27,0,3
train28,1,1
train29,1,1
train30,0,4
train31,-1,2
train32,0,4
train33,1,1
train34,0,3
train35,1,1
train36,1,1
train37,1,1
train38,1,1
train39,0,4
train40,-1,2
train41,1,1
train42,0,4
train43,0,3
train44,-1,2
train45,1,1
train46,0,3
train47,0,3
train48,0,4
train49,-1,2
train50,1,1
train51,0,3
train52,-1,2
train53,0,3
train54,0,4
train55,1,1
train56,1,1
train57,0,4
train58,-1,2
train59,0,4
train60,0,3
train61,0,3
train62,0,3
train63,-1,2
train64,-1,2
train65,0,3
train66,0,3
train67,0,4
train68,0,3
train69,1,1
train70,0,3
train71,1,1
train72,1,1
train73,1,1
train74,-1,2
train75,0,4
train76,-1,2
train77,0,4
train78,1,1
train79,0,3
train80,0,3
train81,1,1
train82,0,4
train83,0,3
train84,1,1
train85,0,3
train86,0,4
train87,1,1
train88,0,3
train89,-1,2
train90,0,4
train91,-1,2
train92,0,3
train93,0,3
train94,0,4
train95,0,3
train96,0,4
train97,0,3
train98,0,4
train99,0,4
train100,0,4
train101,0,3
train102,1,1
train103,0,3
train104,0,4
train105,0,4
train106,0,3
train107,1,1
train108,0,4
train109,0,3
train110,0,3
train111,1,1
train112,0,3
train113,1,1
train114,1,1
train115,0,3
train116,0,3
train117,-1,2
train118,-1,2
train119,0,4
train120,0,4
train121,0,3
train122,0,4
train123,-1,2
train124,0,3
train125,0,4
train126,0,3
train127,0,3
train128,-1,2
train129,-1,2
train130,0,3
train131,0,4
train132,1,1
train133,-1,2
train134,0,4
train135,0,4
train136,0,3
train137,1,1
train138,1,1
train139,1,1
train140,0,3
train141,0,3
train142,-1,2
train143,1,1
train144,-1,2
train145,0,4
train146,0,3
train147,-1,2
train148,-1,2
train149,-1,2
train150,0,4
train151,0,4
train152,0,3
train153,0,4
train154,0,3
train155,0,3
train156,0,4
train157,1,1
train158,1,1
train159,0,3
train160,0,4
train161,1,1
train162,-1,2
train163,-1,2
train164,-1,2
train165,0,4
train166,0,3
train167,1,1
train168,1,1
train169,0,4
train170,0,4
train171,0,4
train172,0,4
train173,0,3
train174,0,4
train175,1,1
train176,-1,2
train177,0,3
train178,1,1
train179,0,4
train180,-1,2
train181,0,3
train182,-1,2
train183,1,1
train184,0,3
train185,1,1
train186,0,4
train187,0,3
train188,-1,2
train189,0,3
train190,1,1
train191,0,4
train192,1,1
train193,-1,2
train194,1,1
train195,1,1
train196,1,1
train197,1,1
train198,-1,2
train199,-1,2
train200,1,1
train201,0,4
train202,0,3
train203,1,1
train204,0,4
train205,0,4
train206,0,4
train207,0,4
train208,0,4
train209,0,4
train210,0,3
train211,0,4
train212,0,4
train213,1,1
train214,1,1
train215,0,3
train216,-1,2
train217,0,4
train218,0,3
train219,1,1
train220,0,3
train221,1,1
train222,-1,2
train223,1,1
train224,-1,2
train225,0,4
train226,0,4
train227,-1,2
train228,-1,2
train229,-1,2
train230,1,1
train231,0,4
train232,0,4
train233,0,3
train234,-1,2
train235,0,4
train236,0,4
train237,-1,2
train238,0,3
train239,-1,2
train240,1,1
train241,0,3
train242,-1,2
train243,-1,2
train244,0,3
train245,0,3
train246,0,4
train247,0,4
train248,0,3
train249,0,4
train250,0,3
train251,0,3
train252,-1,2
train253,0,3
train254,1,1
train255,1,1
train256,0,4
train257,0,3
train258,1,1
train259,1,1
train260,0,4
train261,-1,2
train262,-1,2
train263,-1,2
train264,1,1
train265,0,3
train266,0,3
train267,-1,2
train268,0,4
train269,-1,2
train270,-1,2
train271,1,1
train272,0,3
train273,0,4
train274,0,4
train275,0,3
train276,0,4
train277,-1,2
train278,0,4
train279,-1,2
train280,1,1
train281,0,3
train282,0,3
train283,1,1
train284,0,3
train285,0,3
train286,0,4
train287,0,3
train288,0,3
train289,0,4
train290,-1,2
train291,1,1
train292,0,4
train293,0,4
train294,-1,2
train295,-1,2
train296,0,3
train297,0,3
train298,0,3
train299,-1,2
train300,-1,2
train301,1,1
train302,0,4
train303,1,1
train304,1,1
train305,-1,2
train306,0,4
train307,0,4
train308,0,4
train309,1,1
train310,1,1
train311,1,1
train312,-1,2
train313,-1,2
train314,1,1
train315,-1,2
train316,-1,2
train317,0,4
train318,-1,2
train319,1,1
train320,-1,2
train321,0,3
train322,0,4
train323,1,1
train324,1,1
train325,-1,2
train326,-1,2
train327,0,3
train328,-1,2
train329,-1,2
train330,-1,2
train331,0,4
train332,1,1
train333,0,4
train334,1,1
train335,0,4
train336,0,3
train337,-1,2
train338,0,3
train339,0,3
train340,0,3
train341,0,4
train342,0,3
train343,1,1
train344,0,4
train345,0,4
train346,0,4
train347,0,4
train348,-1,2
train349,0,4
train350,1,1
train351,0,3
train352,0,4
train353,1,1
train354,1,1
train355,-1,2
train356,1,1
train357,0,4
train358,0,3
train359,0,3
train360,0,3
train361,1,1
train362,1,1
train363,0,4
train364,0,4
train365,1,1
train366,0,3
train367,0,4
train368,0,3
train369,-1,2
train370,0,4
train371,0,3
train372,0,3
train373,0,3
train374,-1,2
train375,0,3
train376,0,3
train377,1,1
train378,1,1
train379,1,1
train380,-1,2
train381,1,1
train382,-1,2
train383,0,3
train384,0,3
train385,0,4
train386,1,1
train387,0,3
train388,1,1
train389,0,4
train390,0,4
train391,-1,2
train392,0,4
train393,-1,2
train394,0,3
train395,1,1
train396,-1,2
train397,-1,2
train398,0,3
train399,0,3
train400,1,1
train401,1,1
train402,0,4
train403,-1,2
train404,0,4
train405,-1,2
train406,0,3
train407,0,4
train408,0,4
train409,0,3
train410,1,1
train411,1,1
train412,0,4
train413,-1,2
train414,-1,2
train415,0,4
train416,0,3
train417,1,1
train418,0,4
train419,-1,2
train420,1,1
train421,-1,2
train422,1,1
train423,-1,2
train424,0,4
train425,0,4
train426,1,1
train427,0,4
train428,-1,2
train429,0,4
train430,-1,2
train431,0,4
train432,0,3
train433,0,3
train434,1,1
train435,1,1
train436,-1,2
train437,0,3
train438,0,3
train439,0,4
train440,0,3
train441,0,3
train442,1,1
train443,0,3
train444,-1,2
train445,0,3
train446,0,4
train447,1,1
train448,1,1
train449,-1,2
train450,-1,2
train451,1,1
train452,0,4
train453,-1,2
train454,1,1
train455,0,4
train456,0,4
train457,0,3
train458,0,3
train459,0,4
train460,1,1
train461,0,3
train462,1,1
train463,1,1
train464,1,1
train465,0,4
train466,-1,2
train467,0,4
train468,-1,2
train469,0,3
train470,1,1
train471,0,3
train472,0,4
train473,1,1
train474,-1,2
train475,1,1
train476,-1,2
train477,0,4
train478,-1,2
train479,0,3
train480,0,3
train481,-1,2
train482,0,3
train483,0,4
train484,-1,2
train485,0,4
train486,0,4
train487,0,4
train488,1,1
train489,-1,2
train490,0,4
train491,-1,2
train492,0,3
train493,1,1
train494,1,1
train495,0,4
train496,-1,2
train497,-1,2
train498,-1,2
train499,0,3
train500,0,4
train501,0,3
train502,1,1
train503,1,1
train504,0,4
train505,0,4
train506,1,1
train507,-1,2
train508,0,3
train509,1,1
train510,0,4
train511,-1,2
train512,1,1
train513,1,1
train514,0,3
train515,0,3
train516,1,1
train517,-1,2
train518,-1,2
train519,1,1
train520,0,3
train521,-1,2
train522,0,4
train523,0,3
train524,1,1
train525,0,3
train526,1,1
train527,-1,2
train528,0,3
train529,0,4
train530,0,4
train531,-1,2
train532,0,3
train533,0,4
train534,0,4
train535,1,1
train536,-1,2
train537,0,3
train538,0,3
train539,0,4
train540,0,3
train541,0,3
train542,-1,2
train543,0,4
train544,0,3
train545,1,1
train546,-1,2
train547,0,3
train548,0,4
train549,0,4
train550,0,4
train551,0,3
train552,-1,2
train553,0,3
train554,1,1
train555,1,1
train556,1,1
train557,0,4
train558,0,3
train559,-1,2
train560,0,4
train561,0,4
train562,1,1
train563,1,1
train564,1,1
train565,0,3
train566,1,1
train567,1,1
train568,0,4
train569,1,1
train570,-1,2
train571,1,1
train572,0,3
train573,-1,2
train574,-1,2
train575,0,3
train576,0,3
train577,1,1
train578,-1,2
train579,0,4
train580,-1,2
train581,0,4
train582,1,1
train583,0,3
train584,1,1
train585,1,1
train586,1,1
train587,-1,2
train588,-1,2
train589,0,4
train590,-1,2
train591,-1,2
train592,-1,2
train593,0,3
train594,0,4
train595,0,3
train596,0,4
train597,0,4
train598,0,4
train599,0,4
train600,0,4
train601,0,4
train602,0,3
train603,0,4
train604,0,3
train605,0,3
train606,0,4
train607,0,3
train608,-1,2
train609,0,3
train610,1,1
train611,0,3
train612,1,1
train613,1,1
train614,-1,2
train615,0,4
train616,1,1
train617,0,3
train618,1,1
train619,1,1
train620,0,3
train621,0,3
train622,0,4
train623,-1,2
train624,0,3
train625,0,3
train626,-1,2
train627,1,1
train628,1,1
train629,0,3
train630,0,3
train631,-1,2
train632,-1,2
train633,1,1
train634,0,4
train635,-1,2
train636,1,1
train637,1,1
train638,1,1
train639,1,1
train640,0,3
train641,-1,2
train642,-1,2
train643,-1,2
train644,-1,2
train645,-1,2
train646,0,4
train647,-1,2
train648,1,1
train649,1,1
train650,0,3
train651,-1,2
train652,0,4
train653,1,1
train654,1,1
train655,0,3
train656,1,1
train657,-1,2
train658,0,3
train659,0,4
train660,1,1
train661,1,1
train662,0,4
train663,0,4
train664,0,4
train665,-1,2
train666,1,1
train667,-1,2
train668,1,1
train669,0,3
train670,-1,2
train671,-1,2
train672,1,1
train673,-1,2
train674,0,4
train675,0,4
train676,0,4
train677,0,4
train678,-1,2
train679,1,1
train680,-1,2
train681,1,1
train682,-1,2
train683,-1,2
train684,0,4
train685,-1,2
train686,0,4
train687,0,4
train688,-1,2
train689,0,4
train690,1,1
train691,0,3
train692,0,4
train693,0,4
train694,0,3
train695,-1,2
train696,1,1
train697,0,4
train698,-1,2
train699,1,1
train700,0,3
train701,1,1
train702,0,3
train703,-1,2
train704,-1,2
train705,0,4
train706,0,3
train707,0,4
train708,0,3
train709,0,3
train710,0,4
train711,-1,2
train712,0,4
train713,0,3
train714,0,3
train715,-1,2
train716,0,3
train717,-1,2
train718,0,4
train719,0,3
train720,1,1
train721,-1,2
train722,1,1
train723,-1,2
train724,0,3
train725,1,1
train726,0,3
train727,0,3
train728,1,1
train729,-1,2
train730,0,3
train731,-1,2
train732,0,4
train733,0,3
train734,0,4
train735,0,3
train736,-1,2
train737,1,1
train738,1,1
train739,0,4
train740,1,1
