SampleID,A type,B type
train2765,Categorical,Numerical
train5523,Categorical,Numerical
train2712,Numerical,Numerical
train3110,Numerical,Binary
train1741,Binary,Numerical
train876,Numerical,Numerical
train6008,Categorical,Numerical
train602,Numerical,Numerical
train7671,Numerical,Numerical
train4111,Numerical,Numerical
train81,Categorical,Numerical
train5591,Categorical,Numerical
train1459,Numerical,Numerical
train4843,Numerical,Numerical
train2135,Numerical,Numerical
train4759,Categorical,Numerical
train6271,Numerical,Binary
train2722,Numerical,Numerical
train1721,Numerical,Numerical
train5386,Numerical,Categorical
train246,Numerical,Numerical
train3892,Numerical,Binary
train4183,Binary,Binary
train2603,Numerical,Categorical
train7274,Numerical,Categorical
train853,Categorical,Categorical
train5388,Binary,Categorical
train1179,Numerical,Categorical
train6560,Numerical,Numerical
train4522,Numerical,Numerical
train6934,Numerical,Numerical
train4414,Numerical,Numerical
train2891,Numerical,Numerical
train3508,Numerical,Numerical
train2498,Categorical,Numerical
train6309,Numerical,Numerical
train1837,Numerical,Categorical
train5545,Numerical,Binary
train2181,Numerical,Numerical
train2521,Numerical,Numerical
train3122,Numerical,Numerical
train780,Numerical,Categorical
train6759,Numerical,Numerical
train920,Numerical,Numerical
train4730,Numerical,Numerical
train3437,Numerical,Binary
train2638,Numerical,Numerical
train2068,Binary,Numerical
train2735,Numerical,Categorical
train4181,Numerical,Numerical
train242,Numerical,Numerical
train6072,Numerical,Binary
train7587,Numerical,Numerical
train4870,Numerical,Numerical
train425,Binary,Binary
train4278,Numerical,Numerical
train6151,Numerical,Numerical
train5223,Binary,Numerical
train4716,Numerical,Binary
train2559,Numerical,Binary
train133,Categorical,Binary
train459,Categorical,Numerical
train7032,Binary,Numerical
train1666,Numerical,Numerical
train2616,Numerical,Numerical
train6490,Numerical,Numerical
train7745,Numerical,Numerical
train3364,Numerical,Numerical
train2354,Categorical,Categorical
train1400,Numerical,Numerical
train3732,Numerical,Numerical
train2487,Binary,Numerical
train2842,Categorical,Numerical
train1652,Categorical,Numerical
train7098,Numerical,Categorical
train6335,Numerical,Numerical
train5779,Numerical,Categorical
train117,Numerical,Binary
train3235,Numerical,Numerical
train1589,Binary,Numerical
train6326,Numerical,Numerical
train1532,Numerical,Numerical
train6486,Numerical,Numerical
train6196,Numerical,Numerical
train5116,Numerical,Numerical
train460,Numerical,Numerical
train2247,Numerical,Binary
train1585,Numerical,Numerical
train7302,Numerical,Categorical
train5944,Binary,Numerical
train5371,Numerical,Numerical
train1314,Numerical,Numerical
train893,Numerical,Categorical
train1664,Numerical,Numerical
train5696,Binary,Numerical
train5715,Numerical,Categorical
train2452,Numerical,Numerical
train1541,Numerical,Numerical
train5525,Numerical,Categorical
train6550,Numerical,Numerical
train6247,Numerical,Binary
train2679,Numerical,Numerical
train4781,Numerical,Binary
train2532,Categorical,Categorical
train3546,Numerical,Numerical
train233,Binary,Numerical
train6661,Numerical,Numerical
train1462,Numerical,Categorical
train3066,Numerical,Numerical
train3289,Categorical,Binary
train2832,Numerical,Numerical
train566,Numerical,Numerical
train3466,Numerical,Binary
train2762,Binary,Numerical
train4695,Numerical,Categorical
train4213,Numerical,Numerical
train357,Numerical,Numerical
train7438,Numerical,Binary
train1492,Categorical,Binary
train4982,Numerical,Binary
train2539,Numerical,Numerical
