SampleID,Auto 20 10 1,Auto 20 10 2,Auto 20 10 3,Auto 20 10 4,Auto 20 10 5,Auto 20 10 6,Auto 20 10 7,Auto 20 10 8,Auto 20 10 9,Auto 20 10 10
train1,-1.8628,-2.8412,2.6677,-1.2567,-2.8984,3.5984,0.37838,1.83,-0.53775,-0.847
train2,-2.0704,-2.6667,2.3596,-1.1811,-2.8697,3.6289,0.42422,1.8378,-0.45596,-0.85984
train3,-1.8459,-2.8358,2.6272,-1.284,-3.0109,3.6273,0.40197,1.7887,-0.60195,-0.7192
train4,-1.8413,-2.9218,2.7397,-1.3332,-2.6916,3.5221,0.30053,1.8811,-0.55492,-1.1238
train5,-1.9487,-2.7614,2.5452,-1.2346,-2.89,3.5937,0.40112,1.8288,-0.50163,-0.84385
train6,-1.921,-2.8111,2.6258,-1.2612,-2.7478,3.6411,0.34012,1.9012,-0.58597,-1.0427
train7,-2.0462,-2.6721,2.3835,-1.2008,-2.9095,3.5653,0.44159,1.812,-0.46705,-0.82248
train8,-2.0759,-2.6262,2.286,-1.163,-3.0861,3.7361,0.46942,1.7511,-0.498,-0.58336
train9,-2.4026,-2.4556,1.9952,-1.0392,-2.5454,3.4736,0.45216,1.8649,-0.16432,-1.2192
train10,-1.9756,-2.811,2.557,-1.2592,-2.8223,3.55,0.36063,1.845,-0.45865,-0.9472
train11,-1.8825,-2.7546,2.5549,-1.2354,-2.9999,3.5549,0.47055,1.7644,-0.54004,-0.68279
train12,-2.1328,-2.7794,2.45,-1.2451,-2.2098,3.363,0.25743,1.9896,-0.30147,-1.6838
train13,-1.9256,-2.744,2.6011,-1.2069,-2.8278,3.5814,0.40573,1.8376,-0.48612,-0.90867
train14,-2.4784,-2.3491,1.7586,-0.97622,-2.9162,3.7292,0.52429,1.7871,-0.27414,-0.7365
train15,-1.9365,-2.7821,2.5683,-1.2738,-2.8372,3.502,0.42102,1.8161,-0.50965,-0.92109
train16,-2.2377,-2.5008,1.9457,-1.0378,-3.3275,3.7528,0.57505,1.6668,-0.43153,-0.2483
train17,-1.8137,-2.8276,2.6761,-1.2788,-2.9285,3.5704,0.38609,1.8011,-0.54773,-0.80273
train18,-1.8534,-2.828,2.6085,-1.2765,-2.9561,3.5787,0.39023,1.8047,-0.54533,-0.76507
train19,-1.8005,-2.8082,2.7372,-1.2315,-2.9218,3.6123,0.39976,1.8196,-0.5649,-0.81254
train20,-2.1633,-2.737,2.3197,-1.2082,-2.7666,3.6029,0.36964,1.8783,-0.43664,-1.0335
train21,-1.8661,-2.8354,2.6183,-1.2972,-2.9658,3.6024,0.39885,1.8141,-0.59423,-0.7692
train22,-1.8801,-2.8031,2.5958,-1.2691,-3.0224,3.6425,0.40553,1.7935,-0.56545,-0.68512
train23,-2.1944,-2.7605,2.3965,-1.231,-2.172,3.4252,0.25381,2.0211,-0.32246,-1.7355
train24,-1.9027,-2.7936,2.5889,-1.2571,-2.8627,3.5912,0.37775,1.834,-0.51981,-0.87743
train25,-1.8714,-2.7939,2.6481,-1.2819,-2.9838,3.6941,0.38717,1.8182,-0.58919,-0.72958
train26,-1.9428,-2.8015,2.5675,-1.2622,-2.9,3.5873,0.39572,1.8264,-0.50941,-0.83411
train27,-1.9257,-2.8586,2.5903,-1.2752,-2.7438,3.5586,0.32286,1.8941,-0.50043,-1.0116
train28,-1.7808,-2.8422,2.7115,-1.2844,-2.9891,3.6032,0.40441,1.7875,-0.6146,-0.7469
train29,-2.4843,-2.5575,1.9844,-1.1653,-2.3164,3.4268,0.38705,1.9241,-0.19837,-1.5534
train30,-2.0519,-2.8415,2.4864,-1.3141,-2.4939,3.4782,0.29579,1.9255,-0.4602,-1.3717
train31,-1.8743,-2.8159,2.6239,-1.2554,-2.9286,3.6301,0.38027,1.8292,-0.55596,-0.80951
train32,-2.4321,-2.5058,1.924,-1.0872,-2.4828,3.5239,0.40739,1.9014,-0.2414,-1.3361
train33,-2.033,-2.6651,2.3473,-1.1324,-3.0443,3.7176,0.4672,1.7926,-0.5146,-0.63401
train34,-2.2034,-2.6328,2.2408,-1.1417,-2.6712,3.6069,0.37703,1.8936,-0.37714,-1.1138
train35,-2.4132,-2.4956,1.9902,-1.1222,-2.4509,3.5111,0.39336,1.9235,-0.26192,-1.3705
train36,-1.8373,-2.9184,2.7062,-1.2997,-2.8362,3.5787,0.32811,1.8588,-0.56917,-0.92733
train37,-2.3173,-2.5982,2.0277,-1.1697,-2.7438,3.5035,0.46182,1.8234,-0.32812,-1.0026
train38,-1.8185,-2.8022,2.715,-1.2284,-2.9223,3.5613,0.4164,1.8134,-0.54094,-0.80908
train39,-1.934,-2.7723,2.5772,-1.2339,-2.8532,3.5755,0.39583,1.8414,-0.5074,-0.89396
train40,-1.8684,-2.837,2.5781,-1.2707,-2.9388,3.5819,0.37269,1.8107,-0.51854,-0.78236
train41,-1.7249,-2.9357,2.8303,-1.3401,-2.8484,3.5544,0.33903,1.8038,-0.57488,-0.90731
train42,-1.8685,-2.8094,2.5685,-1.2308,-3.0604,3.7152,0.40623,1.7855,-0.59548,-0.62912
train43,-2.0139,-2.882,2.5444,-1.3123,-2.7048,3.5575,0.30902,1.9027,-0.50314,-1.1272
train44,-1.8845,-2.7662,2.5884,-1.1747,-2.9209,3.6376,0.40236,1.8207,-0.52816,-0.80965
train45,-1.9103,-2.8237,2.6411,-1.2557,-2.6816,3.5516,0.33866,1.8993,-0.55389,-1.1442
train46,-2.429,-2.5088,1.9164,-1.107,-2.6051,3.5481,0.41597,1.8736,-0.25748,-1.17
train47,-2.1882,-2.6467,2.32,-1.1633,-2.4781,3.4987,0.34345,1.9503,-0.35761,-1.3484
train48,-2.2977,-2.4699,2.0246,-1.0328,-2.911,3.6252,0.51664,1.8028,-0.35364,-0.77678
train49,-1.8687,-2.7706,2.6373,-1.2208,-2.9002,3.6271,0.40215,1.8256,-0.55553,-0.84248
train50,-1.753,-2.8508,2.7344,-1.2998,-3.0455,3.5997,0.42629,1.7665,-0.63206,-0.66696
train51,-1.8593,-2.7561,2.6545,-1.2296,-2.901,3.6143,0.41388,1.8031,-0.54748,-0.83672
train52,-1.9211,-2.8449,2.5522,-1.2858,-2.9273,3.5698,0.38379,1.8071,-0.50078,-0.81001
train53,-2.4709,-2.4004,1.7749,-0.95668,-2.9291,3.711,0.5313,1.7425,-0.27411,-0.75274
train54,-1.9114,-2.8319,2.5961,-1.2664,-2.9256,3.626,0.38022,1.8447,-0.56121,-0.81235
train55,-1.8099,-2.9665,2.6792,-1.3625,-3.0572,3.6248,0.35641,1.7757,-0.62175,-0.6746
train56,-1.8999,-2.8295,2.6328,-1.2782,-2.7546,3.5502,0.34897,1.8699,-0.52972,-1.0247
train57,-1.8166,-2.8761,2.6715,-1.3098,-2.94,3.5626,0.37751,1.8128,-0.58705,-0.79913
train58,-2.1324,-2.7164,2.4499,-1.2184,-2.4484,3.4352,0.34503,1.9427,-0.38319,-1.4068
train59,-1.8258,-2.854,2.684,-1.2693,-2.941,3.5875,0.38254,1.8248,-0.57343,-0.80119
train60,-1.8507,-2.8193,2.6584,-1.2598,-2.9623,3.5799,0.40806,1.8067,-0.56204,-0.78366
train61,-1.693,-2.945,2.8197,-1.3471,-3.037,3.5733,0.40281,1.766,-0.66133,-0.67712
train62,-1.7913,-2.8686,2.7066,-1.2934,-2.8195,3.5595,0.36077,1.84,-0.5976,-0.95319
train63,-1.8711,-2.8436,2.6478,-1.2932,-2.8981,3.6101,0.36932,1.8256,-0.56482,-0.85279
train64,-1.9408,-2.7903,2.5546,-1.261,-2.9755,3.636,0.39993,1.8269,-0.55243,-0.74686
train65,-1.8246,-2.8754,2.6677,-1.3171,-2.9252,3.5586,0.37774,1.822,-0.59515,-0.82056
train66,-1.8418,-2.8453,2.6438,-1.2806,-2.8052,3.576,0.35296,1.8301,-0.53218,-0.93383
train67,-1.992,-2.7753,2.4627,-1.2155,-2.7649,3.5761,0.3556,1.8645,-0.43369,-0.96897
train68,-1.8818,-2.8422,2.7458,-1.2499,-2.5342,3.4475,0.31809,1.9058,-0.45317,-1.2922
train69,-1.816,-2.8558,2.697,-1.2724,-2.9434,3.6042,0.38134,1.8272,-0.5825,-0.79541
train70,-2.389,-2.5574,1.9507,-1.1273,-2.5817,3.5024,0.40228,1.8679,-0.21867,-1.1681
train71,-1.7387,-2.8798,2.7682,-1.3131,-2.9477,3.5983,0.3857,1.7759,-0.60701,-0.78221
train72,-1.8695,-2.8381,2.6353,-1.3079,-2.9013,3.5722,0.37722,1.8234,-0.57198,-0.85579
train73,-2.3541,-2.4349,1.9708,-1.0254,-2.865,3.6969,0.49178,1.7885,-0.2903,-0.81727
train74,-2.467,-2.346,1.7855,-0.95931,-2.9326,3.6769,0.5488,1.7456,-0.22827,-0.72104
train75,-1.8686,-2.799,2.6148,-1.2408,-2.9346,3.5381,0.41854,1.7993,-0.51153,-0.79111
train76,-2.0659,-2.7304,2.3956,-1.2098,-2.8638,3.6252,0.39006,1.8589,-0.49686,-0.9089
train77,-2.4878,-2.3611,1.7596,-0.9602,-2.8797,3.6895,0.53406,1.7523,-0.22722,-0.78882
train78,-2.2368,-2.7635,2.3027,-1.2445,-2.3519,3.5061,0.27324,1.9864,-0.35742,-1.5333
train79,-2.0873,-2.6508,2.3393,-1.1637,-2.868,3.6292,0.41871,1.8361,-0.44029,-0.85007
train80,-1.8978,-2.9454,2.7163,-1.2786,-2.4472,3.4567,0.2449,1.9436,-0.44734,-1.4051
train81,-1.9452,-2.7338,2.5334,-1.2019,-2.8309,3.6011,0.39137,1.8576,-0.51089,-0.91684
train82,-1.6773,-2.8436,2.7646,-1.3374,-3.2761,3.6567,0.47248,1.6863,-0.7136,-0.38194
train83,-2.0955,-2.8255,2.4965,-1.258,-2.4357,3.5065,0.27123,1.9759,-0.41514,-1.4261
train84,-1.816,-2.8593,2.6872,-1.3119,-2.9181,3.4726,0.41784,1.7861,-0.55663,-0.82573
train85,-2.4734,-2.4707,1.9094,-1.0978,-2.4516,3.4952,0.40536,1.9217,-0.19928,-1.3487
train86,-1.8364,-2.8561,2.6898,-1.2958,-2.9168,3.5745,0.38535,1.835,-0.60467,-0.84015
train87,-2.1862,-2.5838,2.0682,-1.041,-3.2439,3.7833,0.53349,1.7287,-0.45164,-0.35188
train88,-1.6735,-2.9779,2.9122,-1.3631,-2.8176,3.4991,0.35638,1.809,-0.63573,-0.94313
train89,-1.8063,-2.883,2.6976,-1.2991,-2.824,3.605,0.35354,1.8134,-0.56466,-0.92874
train90,-2.0543,-2.7492,2.435,-1.2115,-2.6486,3.5873,0.32036,1.9065,-0.40725,-1.1145
train91,-1.8702,-2.8535,2.6415,-1.2846,-2.8355,3.5337,0.37145,1.8267,-0.51002,-0.9167
train92,-1.9196,-2.9009,2.6489,-1.3239,-2.7089,3.5655,0.2976,1.8984,-0.53983,-1.1186
train93,-1.896,-2.7665,2.5485,-1.2463,-3.0409,3.6107,0.4416,1.7731,-0.55999,-0.66575
train94,-2.0433,-2.8668,2.6265,-1.2727,-2.2677,3.3876,0.27128,1.9879,-0.39879,-1.6151
train95,-1.8097,-2.8827,2.6878,-1.282,-2.8987,3.6049,0.34951,1.8445,-0.58572,-0.85441
train96,-2.2115,-2.5419,2.2187,-1.0797,-2.8628,3.5905,0.48526,1.7994,-0.3542,-0.84091
train97,-1.7441,-2.8664,2.778,-1.2514,-2.914,3.6052,0.37209,1.8254,-0.60025,-0.83459
train98,-1.8082,-2.8189,2.661,-1.2899,-3.0721,3.5668,0.44333,1.7382,-0.55605,-0.60785
train99,-1.8029,-2.8319,2.7214,-1.2654,-2.9238,3.6192,0.38564,1.8229,-0.59517,-0.82424
train100,-1.8178,-2.8879,2.5837,-1.2996,-3.0294,3.698,0.33337,1.8012,-0.60644,-0.67462
train101,-1.8514,-2.844,2.6326,-1.2796,-2.9502,3.5993,0.38686,1.8144,-0.58063,-0.7837
train102,-1.8189,-2.8314,2.6861,-1.2758,-2.9925,3.5774,0.41093,1.7928,-0.58218,-0.74622
train103,-1.9057,-2.7921,2.5839,-1.2789,-2.9578,3.6155,0.39698,1.8209,-0.5577,-0.77506
train104,-1.8056,-2.8755,2.7041,-1.3051,-2.9477,3.5819,0.39936,1.801,-0.59636,-0.77771
train105,-1.8897,-2.8061,2.5783,-1.2478,-2.9259,3.5956,0.39389,1.8129,-0.52912,-0.79643
train106,-1.8803,-2.8396,2.665,-1.2206,-2.8011,3.5755,0.36261,1.8772,-0.53142,-0.97146
train107,-1.8959,-2.8096,2.5809,-1.2619,-2.9161,3.5851,0.38753,1.8228,-0.53199,-0.8185
train108,-1.8994,-2.6983,2.5528,-1.197,-2.9646,3.6049,0.443,1.7951,-0.53061,-0.74856
train109,-1.8405,-2.8359,2.6703,-1.2736,-2.9344,3.5801,0.39408,1.8191,-0.57767,-0.80285
train110,-1.8294,-2.774,2.7013,-1.1989,-2.8888,3.6286,0.39734,1.8367,-0.56232,-0.85627
train111,-2.3417,-2.5874,2.1441,-1.1869,-2.4936,3.5627,0.35009,1.946,-0.33828,-1.3414
train112,-1.8286,-2.807,2.6071,-1.2826,-3.0779,3.6025,0.44692,1.754,-0.59773,-0.60981
train113,-1.8171,-2.9029,2.7726,-1.2889,-2.6298,3.5462,0.27765,1.899,-0.52338,-1.1898
train114,-2.2714,-2.4855,2.1556,-1.0392,-2.8162,3.7217,0.45838,1.8804,-0.36735,-0.90487
train115,-1.8579,-2.7633,2.6695,-1.2227,-2.8829,3.6172,0.40463,1.8299,-0.54973,-0.85715
train116,-2.0523,-2.7254,2.4125,-1.1849,-2.6965,3.5416,0.38735,1.8561,-0.38922,-1.0479
train117,-2.0239,-2.8414,2.4687,-1.2917,-2.6827,3.4134,0.38505,1.8741,-0.44583,-1.0965
train118,-1.8493,-2.7851,2.6916,-1.2343,-2.9239,3.639,0.39347,1.8511,-0.60028,-0.8307
train119,-1.9985,-2.8034,2.5757,-1.2769,-2.5974,3.5001,0.32967,1.8913,-0.45475,-1.2309
train120,-1.9448,-2.7584,2.5644,-1.2681,-2.9075,3.6006,0.40287,1.851,-0.55956,-0.83082
train121,-1.7507,-2.8991,2.7612,-1.3149,-3.0036,3.5974,0.40888,1.7755,-0.62562,-0.70787
train122,-2.0614,-2.832,2.5093,-1.2748,-2.637,3.5421,0.31718,1.9232,-0.47564,-1.2058
train123,-1.9082,-2.7764,2.5814,-1.2171,-2.9044,3.6719,0.38287,1.8364,-0.55968,-0.83185
train124,-1.9139,-2.765,2.6374,-1.2466,-2.8546,3.6365,0.37654,1.8675,-0.56455,-0.91391
train125,-2.5778,-2.4203,1.7284,-1.0153,-2.6531,3.5761,0.48383,1.83,-0.1881,-1.106
train126,-1.7944,-2.8966,2.7495,-1.2974,-2.9198,3.5758,0.38961,1.8145,-0.60605,-0.82287
train127,-1.7155,-2.8939,2.7873,-1.3232,-3.0123,3.5868,0.40037,1.7671,-0.63846,-0.71461
train128,-1.7669,-3.0658,2.7964,-1.3519,-2.6525,3.4597,0.23608,1.9119,-0.53111,-1.157
train129,-1.9724,-2.749,2.5352,-1.2229,-2.8369,3.6166,0.38825,1.8625,-0.51267,-0.9118
train130,-1.9254,-2.7771,2.5496,-1.2361,-3.035,3.5368,0.47332,1.7435,-0.5232,-0.67121
train131,-1.8875,-2.8191,2.6196,-1.2662,-2.8978,3.6024,0.38055,1.841,-0.56674,-0.85376
train132,-1.9106,-2.7309,2.6026,-1.2026,-2.8477,3.618,0.42169,1.8104,-0.53753,-0.90687
train133,-1.9624,-2.7643,2.513,-1.1847,-2.9524,3.6285,0.4263,1.8176,-0.53295,-0.79609
train134,-1.9247,-2.7666,2.5772,-1.2446,-2.8896,3.589,0.40412,1.8339,-0.53019,-0.84927
train135,-2.1912,-2.6178,2.1268,-1.1427,-2.8322,3.5102,0.47148,1.7768,-0.3076,-0.85596
train136,-1.8434,-2.8231,2.6849,-1.2625,-2.8738,3.6296,0.3598,1.8319,-0.56419,-0.88716
train137,-1.7327,-2.9304,2.7949,-1.3365,-2.9761,3.5562,0.38841,1.8077,-0.6604,-0.76197
train138,-1.8362,-2.8616,2.668,-1.308,-2.9408,3.5871,0.38801,1.8206,-0.60494,-0.80476
train139,-1.8229,-2.8656,2.6627,-1.321,-2.9799,3.5928,0.39731,1.8002,-0.61086,-0.75007
