SampleID,Auto PIT 10 05 1,Auto PIT 10 05 2,Auto PIT 10 05 3,Auto PIT 10 05 4,Auto PIT 10 05 5
train1,-2.6718,0.5507,-4.4367,-1.3155,0.086098
train2,-0.69018,-0.0946,1.3459,1.7297,-0.14167
train3,-0.62153,0.03491,0.42297,-0.50854,0.10876
train4,0.48121,-0.14985,-0.28909,-0.13905,0.8764
train5,-0.40169,-0.10258,-0.16524,-0.15825,0.0099099
train6,0.15937,0.2231,-0.12513,0.27884,-0.10103
train7,0.35327,0.8613,-0.18029,0.19286,0.031298
train8,-2.0409,1.7099,-2.584,2.1371,0.34485
train9,0.17291,-0.69713,-0.28001,0.19799,1.1431
train10,-0.54031,1.9362,0.34505,-0.8869,0.86172
train11,-3.0436,-0.61224,1.8238,-1.7843,1.0907
train12,-0.042136,0.89822,0.53292,-0.34663,-0.90409
train13,-0.88066,-0.0067161,-0.7699,-0.3889,-0.11344
train14,0.0039519,-0.41638,-0.12638,0.25466,0.90974
train15,-0.59292,-0.48238,0.25924,-0.22415,-0.05438
train16,1.0233,-0.64067,-1.084,0.24591,-0.79325
train17,-1.622,0.63358,-1.3497,1.196,0.24527
train18,-0.91695,-0.10602,-0.03469,-0.056646,0.081463
train19,-2.6704,0.68017,-4.1896,-1.4708,0.1406
train20,0.099794,0.14738,0.39938,0.48313,-0.074517
train21,-2.0841,0.23946,0.90877,-1.9121,1.3716
train22,-0.94437,-0.097593,-0.33711,0.37912,0.71768
train23,0.10467,-0.60887,-0.42791,0.017527,-0.52875
train24,-0.12693,-0.052782,0.14528,-0.060539,-0.028907
train25,0.90496,1.3965,-0.080424,-0.01623,0.77031
train26,-0.33323,-0.58669,-0.092187,-0.028943,0.33524
train27,-0.46361,0.46725,0.051969,-0.11928,-0.41339
train28,-2.6002,-0.15456,1.449,-1.8364,1.2304
train29,-0.53014,2.5211,0.65381,-1.2695,-0.0062691
train30,0.16259,0.58121,0.58773,-0.535,0.52146
train31,-0.025429,0.32217,0.1139,-0.032928,0.16411
train32,-0.016482,-0.75396,-0.49027,0.10412,0.4681
train33,1.3449,-0.45051,0.36496,0.95721,0.96469
train34,0.91246,3.2789,0.163,-0.19957,0.6664
train35,1.0559,-0.29916,-0.65618,0.98163,-0.61586
train36,1.6802,1.8597,0.46231,-0.9144,0.68115
train37,0.12504,-0.51834,-0.10262,-0.29739,-0.1376
train38,-1.7293,0.078152,-1.9711,-0.6286,-0.12838
train39,0.25739,-0.18375,0.33613,-0.21734,-0.12454
train40,-0.56227,1.0122,0.34947,-0.37197,0.7404
train41,-2.5711,-3.7032,0.97715,-0.47877,-0.55924
train42,1.3872,-1.2957,-1.9831,-1.7915,-0.092398
train43,-0.024855,1.3641,0.25274,-0.65634,-1.975
train44,-0.44789,0.14033,-0.47793,0.26248,-0.56885
train45,-0.20225,1.1345,0.21641,0.032635,0.40155
train46,0.91211,1.1385,-1.184,0.21431,0.24657
train47,1.8791,0.72099,2.8251,1.721,0.048562
train48,-0.13996,0.89397,-0.095468,-0.11982,-1.6596
train49,-1.5896,1.1595,-1.479,0.84786,-0.47468
train50,-3.1887,0.076662,1.5086,-2.2364,1.5775
train51,-2.2126,1.0019,-2.669,1.7542,0.11605
train52,-0.21044,-1.08,0.10161,0.36758,-0.65024
train53,0.86507,-0.29154,-1.0303,0.49122,0.25881
train54,-0.52802,0.11797,1.26,-1.1531,1.1348
train55,-1.6876,-0.67985,1.4841,0.54583,0.38446
train56,-1.3028,0.65239,-1.1176,1.177,0.21579
train57,-1.2932,-1.2864,0.4851,-1.1232,0.12519
train58,0.78077,2.9933,0.46038,-0.39015,0.64783
train59,-2.8518,1.245,-4.05,-0.50457,0.24032
train60,-1.7618,-0.97144,0.28294,-0.78918,0.28111
