SampleID,Auto PIT 30 10 1,Auto PIT 30 10 2,Auto PIT 30 10 3,Auto PIT 30 10 4,Auto PIT 30 10 5,Auto PIT 30 10 6,Auto PIT 30 10 7,Auto PIT 30 10 8,Auto PIT 30 10 9,Auto PIT 30 10 10
train1,-1.5021,0.39774,0.092319,-0.4687,0.93499,0.10492,-0.6907,0.12812,-0.4586,0.16402
train2,-1.0771,0.30269,-0.12053,0.023056,0.87917,-0.11698,-1.0831,0.5398,-0.58045,-0.062101
train3,-0.62345,0.55133,-0.078974,0.42113,0.49831,0.31747,-0.83466,0.25779,-0.037556,-0.04695
train4,-1.3233,0.78449,-0.22874,-0.30446,1.2213,0.12809,-1.5879,0.25474,-0.3599,-0.028628
train5,-0.84686,0.4205,-0.12089,-0.10896,0.59251,0.205,-0.91121,0.052592,-0.35466,0.040913
train6,-1.0262,0.71646,-0.26708,-0.10944,0.99431,0.657,-1.49,-0.13371,-0.79651,0.27146
train7,-1.699,1.3822,-0.053654,0.087337,1.8623,0.54354,-2.404,-0.026901,-1.165,0.20013
train8,-0.72071,0.069558,0.26878,-0.053765,0.58951,0.40236,-0.067747,-0.1523,-0.3935,-0.45005
train9,-1.4075,0.76147,-0.18635,-0.11117,1.482,0.1838,-2.0651,-0.042153,-0.26146,0.049649
train10,-1.0618,0.40873,-0.48814,-0.30688,0.59697,-0.21647,-0.934,0.40432,-0.31042,-0.059922
train11,-0.64105,0.54816,0.22492,0.40197,0.15616,0.15461,-1.0466,-0.41062,-0.23528,0.47802
train12,-0.88179,0.72349,-0.27041,-0.18932,0.91904,0.090532,-1.1063,0.48143,-0.68397,0.12535
train13,-0.97959,0.50465,-0.058138,-0.15359,0.60636,0.1462,-0.88542,-0.081341,-0.35759,0.13988
train14,-0.79755,0.26743,-0.37705,-0.17098,0.85408,-0.081996,-1.0684,0.10998,-0.29511,-0.098898
train15,-1.0306,0.59804,-0.07649,-0.078578,0.73204,0.20116,-1.1722,-0.0030054,-0.51094,0.073388
train16,-1.3283,0.74394,-0.30594,0.013904,0.95913,0.17726,-1.2342,0.014881,-0.48469,-0.034646
train17,-0.89744,0.26292,0.015759,-0.18484,0.60818,0.084076,-0.73413,0.11077,-0.41336,0.0094294
train18,-0.74306,0.35025,-0.082069,-0.069155,0.44317,0.20548,-0.78058,-0.026075,-0.37234,0.09445
train19,-1.4095,0.41321,0.057183,-0.49606,0.90493,0.2084,-0.72379,0.073837,-0.47289,0.25435
train20,-0.2056,1.4349,-0.40495,0.42628,1.1303,0.17466,-1.6815,0.11642,-0.50713,-0.63088
train21,-1.2759,0.76218,0.15411,0.55106,0.98624,-0.065877,-1.3063,-0.029519,-0.14435,0.34022
train22,-0.74638,0.45803,0.024157,0.20672,0.61088,0.018725,-0.61545,-0.30301,-0.034419,-0.052039
train23,-1.0629,0.83913,-0.34222,0.014025,0.81376,-0.049547,-1.2917,-0.090012,-0.45129,0.16258
train24,-0.90629,0.48658,-0.11031,-0.11487,0.64888,0.21176,-1.012,0.097044,-0.47227,0.067279
train25,-0.48264,0.88789,-0.26366,-0.08293,1.1666,0.30676,-1.255,0.093195,-0.54963,-0.24785
train26,-0.8508,0.64585,-0.11345,-0.032443,0.74076,0.27985,-1.2685,-0.24556,-0.4187,0.0033986
train27,-0.64943,1.0031,-0.079905,-0.07577,0.74367,0.20297,-0.73301,-0.042167,-0.50768,-0.052854
train28,-0.43594,0.4148,-0.0020376,0.19237,0.35066,0.39312,-0.93739,-0.22904,-0.2556,0.27591
train29,-1.3041,1.3374,-0.22814,-0.19699,1.5601,0.11271,-1.9223,0.26877,-1.0427,0.49237
train30,-0.81599,0.88397,-0.0064279,-0.30419,1.04,0.2353,-1.27,-0.040338,-0.49858,0.1609
train31,-0.85932,0.49358,-0.18917,-0.12222,0.80792,0.10346,-1.0503,0.19106,-0.48889,0.022582
train32,-0.96723,0.76585,-0.18203,-0.0058948,0.86843,-0.042998,-1.2441,-0.17334,-0.1256,-0.097628
train33,-1.8712,0.14491,-0.85,-0.73066,1.2178,-0.078652,-2.1543,0.43413,-0.68053,0.15252
train34,-0.6525,0.52345,-0.23968,0.24449,2.4493,0.048103,-1.5125,1.0034,-1.2018,-0.26432
train35,-1.1075,0.57518,-0.43424,-0.12471,0.67193,0.12115,-1.297,-0.025486,-0.5658,0.10722
train36,-0.90223,0.7489,-0.076533,-0.29579,1.3196,0.44886,-1.374,0.45622,-0.5483,0.068787
train37,-0.8596,0.5232,-0.1244,0.0079876,0.48324,0.35334,-0.98406,-0.1308,-0.15679,0.14905
train38,-1.1066,0.36989,-0.035252,-0.24025,0.53224,0.13958,-0.72597,-0.025416,-0.34699,0.14533
train39,-1.1524,0.48335,-0.11729,-0.15422,0.8686,0.094385,-1.1999,0.44027,-0.41418,0.036334
train40,-0.7636,0.53856,-0.14327,-0.18057,0.85317,0.07663,-1.0561,0.15109,-0.41703,0.13397
train41,-0.9259,0.99712,0.24689,-0.1388,0.25229,0.39062,-1.2444,-0.70693,-0.48173,0.18946
train42,-1.4046,0.95869,-0.57463,0.01256,0.66253,0.08095,-0.83737,-0.09089,0.43458,0.20783
train43,-0.88846,0.93517,-0.34051,-0.17197,0.84194,0.35265,-1.0445,0.39141,-0.84144,0.16521
train44,-1.0845,0.25435,-0.28587,-0.090227,0.52185,-0.03767,-0.59009,0.15062,-0.50047,0.068002
train45,-1.8261,1.5733,0.076273,-0.54748,1.8625,0.18594,-2.2003,0.24493,-1.3105,-0.056675
train46,-0.95295,0.6691,-0.3041,-0.070712,1.1527,0.30375,-1.0206,0.061646,-0.52503,-0.24651
train47,-0.96053,0.75359,-0.13593,-0.28596,0.93443,0.26162,-1.8647,0.34989,-0.77968,0.19161
train48,-0.85434,0.46723,-0.58879,-0.149,0.4946,-0.05674,-0.38423,0.56769,-0.81245,0.23166
train49,-0.95658,0.31734,-0.063411,-0.20155,0.57218,0.024278,-0.64017,0.24863,-0.48651,0.015135
train50,-0.36492,0.32046,0.0080401,0.21404,0.31899,0.30864,-0.71462,-0.24053,-0.25854,0.30336
train51,-1.3584,0.062928,0.15033,-0.3399,0.53652,0.082188,-0.51611,0.16757,-0.52734,-0.17891
train52,-1.03,0.86114,-0.082071,0.057624,0.93759,0.15177,-1.5162,-0.12401,-0.49369,0.062958
train53,-1.244,0.58075,-0.33536,-0.1007,0.91602,0.30422,-1.177,-0.052797,-0.45116,-0.17789
train54,-0.59703,0.42999,-0.094324,0.042936,0.75296,0.21865,-0.9939,0.042533,-0.22985,0.014142
train55,-0.54543,0.59806,0.077398,0.26962,0.47968,-0.019714,-1.0918,-0.23058,-0.48057,-0.19237
train56,-1.0487,0.02759,0.27175,-0.27844,0.41122,0.15678,-0.62015,0.19501,-0.41985,-0.20452
train57,-0.60182,0.62538,-0.1947,-0.00042424,0.38468,0.47816,-0.97204,-0.17925,-0.25276,0.3029
train58,-0.54635,0.69015,0.041965,-0.10922,1.6709,0.28082,-1.3366,0.67579,-0.83534,-0.17673
train59,-1.2867,0.15215,0.25603,-0.58044,0.89408,0.16186,-0.36593,0.2513,-0.54503,0.092122
train60,-0.56084,0.43178,0.033231,0.16795,0.35108,0.32843,-0.84426,-0.33839,-0.35027,0.041889
train61,-0.69498,0.471,0.027657,0.078817,0.35546,0.38597,-0.89005,-0.37384,-0.30646,0.088788
train62,-0.60495,0.55317,-0.057406,-0.11838,0.44714,0.36741,-0.90971,-0.1196,-0.29646,0.21662
train63,-0.87614,0.55002,-0.15284,0.094656,0.0065417,0.50194,-1.1077,-0.54209,-0.29427,0.0095814
train64,-0.92408,0.50275,-0.25228,-0.15069,0.9134,0.23591,-1.1461,0.11607,-0.65099,-0.016143
train65,-0.60036,0.65071,-0.21336,-0.0092091,0.27272,0.41366,-0.87545,-0.079424,-0.40702,0.21681
train66,-0.57152,0.68253,-0.067532,-0.27724,0.52651,-0.16664,-1.0397,-0.033654,-0.36899,0.36814
train67,-1.241,0.69312,-0.32789,-0.15278,0.99403,-0.24283,-1.1774,0.53623,-0.50746,-0.031966
train68,-0.49297,0.79768,-0.23889,-0.37785,0.72307,0.21628,-0.866,0.36065,-0.42704,-0.025695
train69,-1.5423,0.28544,0.14374,-0.57146,0.92444,0.16948,-0.76293,0.10285,-0.5002,0.077916
train70,-1.9392,1.9226,-0.15662,-0.12649,2.3815,0.33805,-3.1124,0.080118,-1.4054,0.35995
train71,-0.76203,0.53026,-0.02476,0.078752,0.54688,0.54913,-1.2991,-0.26717,-0.50214,0.17736
train72,-1.0952,0.94033,-0.14265,-0.48133,0.42975,0.34685,-1.8475,-0.0090258,-0.53308,0.20326
train73,-1.0294,0.8436,-0.33143,-0.35783,1.1427,0.22284,-1.166,0.12908,-0.6874,-0.045764
train74,-1.3823,0.73143,-0.42694,-0.17337,1.1695,0.27855,-1.6842,0.1494,-0.92401,-0.11673
train75,-0.68221,0.34966,-0.0043713,-0.054704,0.45558,0.28472,-0.82179,-0.11421,-0.26477,0.077984
train76,-0.77182,0.94364,-0.61607,-0.0070091,0.46942,-0.10841,-0.76333,0.85992,-0.72939,0.53111
train77,-1.4024,0.88913,-0.31779,-0.19499,1.2832,0.48493,-1.5798,0.11285,-0.79577,-0.092498
train78,-1.0054,0.65879,-0.26392,-0.24981,0.93251,0.37705,-0.98556,0.19591,-0.42244,0.08133
train79,-1.3812,0.71711,-0.8801,-0.41191,0.30037,0.16537,-1.4546,0.3944,-1.2845,0.07575
train80,-0.66237,0.49372,0.1869,-0.24965,0.6771,0.093087,-0.67969,0.016753,-0.29659,-0.085758
train81,-1.416,0.85437,0.10589,-0.41762,1.1153,0.38196,-0.87722,-0.13427,-0.52012,0.13034
train82,-0.46439,0.028842,0.18175,0.49594,0.24883,0.051376,0.16343,-0.34523,-0.096429,-0.0283
train83,-0.62033,0.84582,-0.13669,-0.37719,0.75438,0.16963,-0.86999,0.14913,-0.57745,0.25081
train84,-0.70332,0.41286,0.0037701,0.036877,0.3446,0.34816,-0.78732,-0.31476,-0.30061,0.050146
train85,-0.96939,0.81065,-0.27575,-0.24998,0.99733,0.24581,-1.0703,0.14491,-0.33283,0.182
train86,-0.44189,0.55988,-0.059909,0.17248,0.27648,0.50802,-0.96049,-0.31991,-0.24475,0.32863
train87,-0.93387,0.4743,-0.2453,0.1327,0.47212,0.085818,-0.77955,-0.40009,-0.23354,-0.033053
train88,-0.51662,0.88367,0.053216,-0.53756,0.34995,0.18893,-0.92003,-0.056701,-0.56571,0.20079
train89,-0.85499,0.6355,-0.11836,0.034942,0.79689,0.86051,-1.6425,-0.29614,-0.75691,0.19781
