SampleID,A type,B type
train1,Numerical,Categorical
train2,Numerical,Categorical
train3,Numerical,Numerical
train4,Numerical,Numerical
train5,Binary,Binary
train6,Categorical,Numerical
train7,Categorical,Numerical
train8,Numerical,Numerical
train9,Numerical,Numerical
train10,Categorical,Numerical
train11,Numerical,Numerical
train12,Numerical,Numerical
train13,Categorical,Numerical
train14,Numerical,Numerical
train15,Categorical,Numerical
train16,Numerical,Numerical
train17,Numerical,Binary
train18,Binary,Numerical
train19,Numerical,Binary
train20,Numerical,Numerical
train21,Numerical,Numerical
train22,Numerical,Numerical
train23,Numerical,Numerical
train24,Categorical,Categorical
train25,Numerical,Numerical
train26,Binary,Numerical
train27,Numerical,Numerical
train28,Binary,Numerical
train29,Numerical,Numerical
train30,Numerical,Numerical
train31,Categorical,Numerical
train32,Numerical,Numerical
train33,Numerical,Numerical
train34,Numerical,Numerical
train35,Numerical,Numerical
train36,Numerical,Numerical
train37,Categorical,Numerical
train38,Categorical,Categorical
train39,Numerical,Numerical
train40,Categorical,Numerical
train41,Numerical,Numerical
train42,Numerical,Numerical
train43,Numerical,Numerical
train44,Numerical,Numerical
train45,Numerical,Numerical
train46,Numerical,Numerical
train47,Numerical,Numerical
train48,Numerical,Numerical
train49,Numerical,Binary
train50,Binary,Numerical
train51,Numerical,Binary
train52,Categorical,Numerical
train53,Numerical,Numerical
train54,Categorical,Numerical
train55,Categorical,Numerical
train56,Numerical,Categorical
train57,Binary,Numerical
train58,Numerical,Numerical
train59,Numerical,Binary
train60,Binary,Numerical
train61,Categorical,Numerical
train62,Categorical,Numerical
train63,Categorical,Numerical
train64,Numerical,Categorical
train65,Binary,Numerical
train66,Categorical,Numerical
train67,Categorical,Numerical
train68,Numerical,Numerical
train69,Numerical,Binary
train70,Numerical,Numerical
train71,Categorical,Numerical
train72,Numerical,Numerical
train73,Numerical,Numerical
train74,Numerical,Numerical
train75,Categorical,Numerical
train76,Numerical,Numerical
train77,Numerical,Numerical
train78,Numerical,Numerical
train79,Numerical,Numerical
train80,Numerical,Categorical
train81,Numerical,Categorical
train82,Numerical,Numerical
train83,Numerical,Numerical
train84,Binary,Categorical
train85,Numerical,Numerical
train86,Binary,Numerical
train87,Numerical,Numerical
train88,Numerical,Numerical
train89,Categorical,Numerical
train90,Numerical,Numerical
train91,Categorical,Numerical
train92,Numerical,Numerical
train93,Numerical,Numerical
train94,Numerical,Numerical
train95,Numerical,Numerical
train96,Categorical,Numerical
train97,Numerical,Binary
train98,Binary,Categorical
train99,Numerical,Binary
train100,Categorical,Numerical
train101,Numerical,Numerical
train102,Binary,Numerical
train103,Numerical,Numerical
train104,Categorical,Numerical
train105,Categorical,Binary
train106,Numerical,Numerical
train107,Numerical,Numerical
train108,Categorical,Numerical
train109,Binary,Numerical
train110,Numerical,Numerical
train111,Numerical,Numerical
train112,Numerical,Numerical
train113,Numerical,Numerical
train114,Numerical,Numerical
train115,Numerical,Categorical
train116,Categorical,Numerical
train117,Categorical,Numerical
train118,Numerical,Numerical
train119,Numerical,Numerical
train120,Numerical,Numerical
train121,Binary,Numerical
train122,Numerical,Numerical
train123,Numerical,Numerical
train124,Categorical,Numerical
train125,Numerical,Numerical
train126,Numerical,Numerical
train127,Binary,Numerical
train128,Numerical,Numerical
train129,Numerical,Categorical
train130,Categorical,Numerical
train131,Binary,Numerical
train132,Numerical,Categorical
train133,Categorical,Numerical
train134,Numerical,Numerical
train135,Numerical,Numerical
train136,Numerical,Numerical
train137,Binary,Numerical
train138,Binary,Numerical
train139,Numerical,Numerical
train140,Numerical,Numerical
train141,Numerical,Numerical
train142,Categorical,Numerical
train143,Numerical,Numerical
train144,Numerical,Numerical
train145,Numerical,Numerical
train146,Numerical,Numerical
train147,Numerical,Binary
train148,Numerical,Numerical
train149,Numerical,Binary
train150,Numerical,Numerical
train151,Numerical,Numerical
train152,Numerical,Numerical
train153,Numerical,Numerical
train154,Numerical,Binary
train155,Numerical,Numerical
train156,Categorical,Categorical
train157,Categorical,Numerical
train158,Numerical,Numerical
train159,Numerical,Categorical
train160,Numerical,Numerical
train161,Categorical,Categorical
train162,Numerical,Numerical
train163,Numerical,Numerical
train164,Numerical,Numerical
train165,Numerical,Numerical
train166,Binary,Numerical
train167,Categorical,Categorical
train168,Numerical,Binary
train169,Numerical,Numerical
train170,Numerical,Numerical
train171,Numerical,Numerical
train172,Numerical,Numerical
train173,Numerical,Numerical
train174,Numerical,Numerical
train175,Numerical,Numerical
train176,Numerical,Numerical
train177,Numerical,Binary
train178,Numerical,Numerical
train179,Binary,Binary
train180,Numerical,Numerical
train181,Numerical,Numerical
train182,Numerical,Numerical
train183,Binary,Numerical
train184,Numerical,Numerical
train185,Numerical,Numerical
train186,Numerical,Numerical
train187,Binary,Numerical
train188,Numerical,Binary
train189,Binary,Numerical
train190,Numerical,Numerical
train191,Numerical,Numerical
train192,Numerical,Numerical
train193,Categorical,Numerical
train194,Numerical,Numerical
train195,Numerical,Numerical
train196,Numerical,Categorical
train197,Numerical,Numerical
train198,Numerical,Numerical
train199,Categorical,Numerical
train200,Binary,Categorical
train201,Binary,Binary
train202,Numerical,Numerical
train203,Numerical,Numerical
train204,Numerical,Numerical
train205,Numerical,Numerical
train206,Numerical,Binary
train207,Numerical,Numerical
train208,Numerical,Binary
train209,Binary,Numerical
train210,Categorical,Categorical
train211,Numerical,Numerical
