SampleID,A->B,B->A,A-B or A|B
train1,0.078962,0.410437,0.510602
train2,0.093120,0.779597,0.127282
train3,0.413442,0.463603,0.122955
train4,0.472539,0.245843,0.281618
train5,0.027127,0.056458,0.916416
train6,0.519236,0.364762,0.116003
train7,0.450420,0.292193,0.257387
train8,0.524970,0.145586,0.329445
train9,0.093768,0.586005,0.320228
train10,0.203031,0.000974,0.795995
train11,0.553481,0.427407,0.019112
train12,0.091426,0.595212,0.313363
train13,0.385678,0.046096,0.568226
train14,0.125077,0.762207,0.112716
train15,0.896587,0.004208,0.099204
train16,0.205069,0.515950,0.278981
train17,0.351596,0.338913,0.309492
train18,0.036484,0.036435,0.927081
train19,0.664536,0.082023,0.253442
train20,0.711718,0.084454,0.203828
train21,0.676812,0.197951,0.125237
train22,0.342086,0.308003,0.349911
train23,0.159010,0.730746,0.110244
train24,0.055627,0.730931,0.213441
train25,0.203758,0.619716,0.176525
train26,0.102962,0.090547,0.806491
train27,0.484806,0.159630,0.355564
train28,0.488929,0.428263,0.082808
train29,0.364582,0.099641,0.535777
train30,0.251281,0.212450,0.536269
train31,0.252147,0.510464,0.237390
train32,0.577199,0.030121,0.392680
train33,0.367970,0.526133,0.105897
train34,0.050477,0.539931,0.409593
train35,0.210591,0.550183,0.239226
train36,0.820392,0.055423,0.124185
train37,0.051801,0.879913,0.068286
train38,0.097198,0.064007,0.838796
train39,0.546382,0.122966,0.330652
train40,0.095515,0.480705,0.423780
train41,0.480212,0.309952,0.209836
train42,0.441702,0.346471,0.211826
train43,0.460256,0.444278,0.095466
train44,0.081460,0.466723,0.451816
train45,0.444679,0.035326,0.519995
train46,0.166829,0.689336,0.143835
train47,0.889414,0.101300,0.009285
train48,0.535014,0.141189,0.323797
train49,0.083555,0.627323,0.289122
train50,0.265750,0.444150,0.290099
train51,0.154727,0.316275,0.528998
train52,0.373595,0.115554,0.510851
train53,0.608614,0.246514,0.144871
train54,0.212216,0.548156,0.239628
train55,0.804378,0.053862,0.141760
train56,0.177450,0.786617,0.035932
train57,0.221915,0.676798,0.101286
train58,0.459656,0.025239,0.515104
train59,0.021049,0.005496,0.973455
train60,0.452159,0.224951,0.322890
train61,0.269694,0.653007,0.077299
train62,0.830668,0.124549,0.044784
train63,0.481750,0.128268,0.389982
train64,0.376631,0.374838,0.248531
train65,0.364073,0.036887,0.599040
train66,0.064091,0.882398,0.053511
train67,0.022383,0.226902,0.750716
train68,0.169831,0.601723,0.228446
train69,0.383889,0.058364,0.557747
train70,0.193678,0.008504,0.797817
train71,0.463982,0.342371,0.193647
train72,0.692893,0.071182,0.235925
train73,0.505514,0.417006,0.077480
train74,0.256613,0.025988,0.717398
train75,0.134024,0.158484,0.707492
train76,0.425005,0.219800,0.355195
train77,0.500813,0.494459,0.004728
train78,0.385719,0.582566,0.031715
train79,0.482449,0.235732,0.281819
train80,0.120867,0.820723,0.058410
train81,0.449486,0.158272,0.392242
train82,0.845033,0.090047,0.064919
train83,0.363808,0.291735,0.344458
train84,0.468084,0.446490,0.085426
train85,0.071681,0.763840,0.164479
train86,0.007403,0.190200,0.802398
train87,0.711354,0.067235,0.221411
train88,0.321075,0.408047,0.270878
train89,0.099849,0.888398,0.011753
train90,0.755844,0.101544,0.142612
train91,0.603305,0.089042,0.307653
train92,0.106688,0.721286,0.172026
train93,0.374164,0.572789,0.053047
train94,0.284245,0.064167,0.651589
train95,0.448307,0.429171,0.122522
train96,0.190609,0.254318,0.555074
train97,0.217699,0.772710,0.009591
train98,0.094591,0.797227,0.108183
train99,0.890518,0.080196,0.029287
train100,0.231906,0.596616,0.171478
train101,0.810790,0.004704,0.184507
train102,0.890306,0.077033,0.032661
train103,0.169374,0.726757,0.103869
train104,0.468911,0.389434,0.141655
train105,0.239536,0.458309,0.302155
train106,0.681240,0.117942,0.200817
train107,0.746585,0.241096,0.012319
train108,0.301201,0.470647,0.228151
train109,0.159041,0.699576,0.141383
train110,0.269688,0.046174,0.684138
train111,0.373231,0.152009,0.474761
train112,0.584216,0.144715,0.271068
train113,0.009999,0.453479,0.536522
train114,0.637134,0.302462,0.060403
train115,0.600982,0.242634,0.156384
train116,0.584653,0.321379,0.093968
train117,0.604213,0.055086,0.340701
train118,0.363754,0.404490,0.231755
train119,0.282922,0.197641,0.519437
