SampleID,A type,B type
train4863,Numerical,Numerical
train7580,Categorical,Numerical
train109,Binary,Numerical
train3862,Binary,Numerical
train12524,Numerical,Numerical
train2804,Categorical,Numerical
train17733,Binary,Numerical
train4699,Numerical,Numerical
train3085,Numerical,Categorical
train11754,Numerical,Numerical
train1973,Binary,Binary
train9897,Numerical,Numerical
train227,Numerical,Numerical
train19149,Binary,Numerical
train8794,Binary,Binary
train989,Numerical,Numerical
train11062,Numerical,Binary
train10878,Categorical,Numerical
train17363,Numerical,Numerical
train14050,Numerical,Numerical
train18297,Numerical,Numerical
train13934,Numerical,Categorical
train7531,Categorical,Binary
train18153,Numerical,Categorical
train11708,Categorical,Numerical
train19790,Numerical,Numerical
train18977,Numerical,Numerical
train7602,Numerical,Numerical
train4696,Numerical,Numerical
train15343,Numerical,Numerical
train12867,Numerical,Numerical
train13916,Numerical,Numerical
train8700,Categorical,Numerical
train413,Numerical,Binary
train2319,Numerical,Categorical
train3337,Categorical,Numerical
train5491,Numerical,Binary
train6299,Numerical,Numerical
train8004,Numerical,Numerical
train8386,Numerical,Numerical
train16418,Binary,Numerical
train15563,Numerical,Numerical
train1702,Numerical,Numerical
train19702,Numerical,Numerical
train258,Numerical,Numerical
train14160,Numerical,Binary
train13035,Numerical,Numerical
train2195,Binary,Categorical
train11663,Numerical,Numerical
train14382,Categorical,Numerical
train12744,Numerical,Binary
train12455,Numerical,Numerical
train18048,Numerical,Numerical
train14078,Numerical,Numerical
train7269,Numerical,Categorical
train8350,Numerical,Categorical
train14093,Binary,Numerical
train2807,Numerical,Categorical
train17796,Categorical,Numerical
train16365,Numerical,Numerical
train13145,Numerical,Numerical
train1815,Binary,Numerical
train15906,Numerical,Numerical
train1008,Numerical,Numerical
train8166,Categorical,Numerical
train2797,Numerical,Binary
train9431,Binary,Numerical
train3643,Binary,Binary
train9736,Numerical,Numerical
train32,Binary,Binary
train3805,Numerical,Numerical
train17425,Numerical,Numerical
train6647,Binary,Categorical
train4948,Numerical,Numerical
train2104,Numerical,Numerical
train18869,Numerical,Numerical
train1834,Numerical,Categorical
train3094,Categorical,Numerical
train17662,Numerical,Binary
train17674,Numerical,Numerical
train18698,Numerical,Categorical
train13894,Binary,Numerical
train6281,Numerical,Numerical
train2533,Numerical,Numerical
train17432,Numerical,Numerical
train7113,Numerical,Numerical
train11474,Binary,Binary
train3240,Numerical,Numerical
train6720,Numerical,Numerical
train2404,Numerical,Numerical
train1445,Numerical,Numerical
train10712,Numerical,Categorical
train10438,Numerical,Numerical
train17442,Categorical,Numerical
train701,Numerical,Numerical
train694,Categorical,Numerical
train10301,Numerical,Binary
train8742,Numerical,Numerical
train6500,Numerical,Numerical
train15762,Numerical,Numerical
train14805,Binary,Numerical
train18906,Numerical,Numerical
train7235,Binary,Binary
train4076,Numerical,Numerical
train12734,Numerical,Numerical
train4441,Numerical,Numerical
train15897,Binary,Categorical
train14377,Numerical,Categorical
train4633,Binary,Numerical
train4064,Numerical,Numerical
train7720,Numerical,Binary
train371,Numerical,Numerical
train1296,Numerical,Numerical
train13014,Numerical,Categorical
train1900,Numerical,Numerical
train10667,Numerical,Numerical
train9034,Numerical,Numerical
train13857,Numerical,Numerical
train15587,Numerical,Categorical
train14734,Numerical,Categorical
train13636,Numerical,Binary
train18991,Binary,Numerical
train4572,Numerical,Numerical
train13033,Numerical,Categorical
train6883,Binary,Numerical
train4380,Numerical,Numerical
train3363,Categorical,Numerical
train17566,Numerical,Numerical
train12974,Numerical,Numerical
train2133,Numerical,Binary
train7936,Numerical,Numerical
train13334,Numerical,Numerical
train8937,Numerical,Categorical
train8873,Numerical,Numerical
train9156,Binary,Numerical
train6220,Numerical,Numerical
train2712,Numerical,Numerical
train841,Numerical,Numerical
train2242,Numerical,Categorical
train9563,Categorical,Numerical
train16318,Categorical,Binary
train12762,Numerical,Categorical
train12578,Numerical,Numerical
train17396,Binary,Numerical
train9802,Numerical,Binary
train16677,Numerical,Numerical
train7418,Numerical,Numerical
train18122,Numerical,Numerical
train18445,Numerical,Numerical
train7390,Numerical,Numerical
train12614,Numerical,Numerical
train12052,Binary,Numerical
train15361,Numerical,Numerical
train4110,Numerical,Numerical
train2759,Numerical,Numerical
train10603,Binary,Numerical
train15713,Categorical,Numerical
train15197,Categorical,Binary
train11252,Numerical,Numerical
train13232,Categorical,Numerical
train17650,Numerical,Categorical
train10839,Numerical,Numerical
train10775,Numerical,Numerical
train1540,Numerical,Numerical
train10743,Numerical,Categorical
train3978,Numerical,Numerical
train8211,Numerical,Numerical
train18202,Numerical,Numerical
train1324,Numerical,Numerical
train5153,Numerical,Categorical
train11650,Numerical,Numerical
train13754,Numerical,Numerical
train11790,Categorical,Binary
train17812,Categorical,Numerical
train347,Numerical,Numerical
train7315,Numerical,Categorical
train18934,Binary,Numerical
train4784,Numerical,Binary
train3585,Numerical,Numerical
train13796,Binary,Numerical
train18709,Binary,Numerical
train4906,Numerical,Numerical
train1798,Numerical,Numerical
train1475,Numerical,Binary
train6242,Categorical,Binary
train2316,Numerical,Categorical
train8414,Numerical,Numerical
train181,Numerical,Numerical
train165,Numerical,Numerical
train17195,Numerical,Numerical
train7928,Numerical,Numerical
train8703,Numerical,Binary
train18115,Numerical,Binary
train11801,Numerical,Binary
train7692,Numerical,Numerical
train6246,Numerical,Numerical
train14879,Numerical,Numerical
train17868,Numerical,Categorical
train12691,Numerical,Numerical
train8458,Numerical,Numerical
train14206,Numerical,Categorical
train17588,Numerical,Binary
train6377,Numerical,Categorical
train6862,Binary,Numerical
train8127,Numerical,Numerical
train18960,Binary,Binary
train2524,Binary,Numerical
train1855,Numerical,Numerical
train14211,Numerical,Numerical
train11658,Numerical,Numerical
train12745,Numerical,Binary
train4379,Categorical,Numerical
train4065,Numerical,Numerical
train13117,Numerical,Numerical
train16342,Numerical,Numerical
train15832,Numerical,Numerical
train6067,Numerical,Numerical
train2912,Categorical,Numerical
train8934,Numerical,Binary
train2694,Categorical,Numerical
train15136,Numerical,Numerical
train18735,Numerical,Numerical
train13166,Numerical,Numerical
train17568,Numerical,Numerical
train5642,Numerical,Numerical
train3382,Numerical,Numerical
train5004,Numerical,Numerical
train2385,Binary,Numerical
train13638,Numerical,Numerical
train3534,Categorical,Numerical
train11839,Categorical,Numerical
train16971,Categorical,Numerical
train9365,Numerical,Numerical
train17999,Numerical,Binary
train12637,Numerical,Numerical
train321,Binary,Numerical
train17540,Categorical,Numerical
train3080,Binary,Binary
train10518,Numerical,Binary
train18595,Numerical,Numerical
train16082,Numerical,Numerical
train11245,Numerical,Binary
train8476,Categorical,Numerical
train8053,Numerical,Numerical
train16114,Categorical,Numerical
train12006,Numerical,Numerical
train11275,Numerical,Numerical
train8119,Numerical,Categorical
train735,Numerical,Numerical
train6627,Binary,Categorical
train1177,Numerical,Numerical
train1166,Categorical,Numerical
train3525,Numerical,Numerical
train18908,Numerical,Numerical
train14720,Numerical,Numerical
train9488,Numerical,Categorical
train7384,Numerical,Numerical
train18408,Numerical,Numerical
train10306,Binary,Numerical
train19245,Numerical,Numerical
train9165,Numerical,Binary
train6052,Numerical,Numerical
train15969,Categorical,Numerical
train8610,Binary,Numerical
train17855,Numerical,Numerical
train18899,Numerical,Numerical
train458,Numerical,Numerical
train9965,Categorical,Numerical
train10632,Numerical,Categorical
train3732,Numerical,Numerical
train14503,Numerical,Numerical
train1055,Numerical,Numerical
train15511,Numerical,Numerical
train2263,Numerical,Binary
train3576,Numerical,Numerical
train1174,Numerical,Numerical
train4127,Numerical,Categorical
train15948,Numerical,Numerical
train10173,Numerical,Binary
train16828,Numerical,Numerical
train10626,Numerical,Numerical
train14245,Numerical,Numerical
train6939,Binary,Numerical
train5106,Numerical,Numerical
train17070,Categorical,Numerical
train7477,Numerical,Binary
train3253,Categorical,Numerical
train9968,Numerical,Binary
train7924,Numerical,Numerical
train12253,Categorical,Numerical
train13193,Numerical,Numerical
train18481,Numerical,Numerical
train12197,Numerical,Numerical
train4733,Numerical,Numerical
train7916,Numerical,Categorical
train3388,Numerical,Numerical
train1639,Numerical,Numerical
train7649,Numerical,Numerical
train5930,Categorical,Numerical
train256,Numerical,Numerical
train19347,Numerical,Numerical
train5038,Numerical,Numerical
train10350,Numerical,Numerical
train12370,Numerical,Numerical
train4348,Numerical,Numerical
train16284,Numerical,Numerical
train5967,Binary,Categorical
train17950,Binary,Numerical
train6324,Numerical,Numerical
train619,Numerical,Numerical
train14399,Numerical,Numerical
train3889,Numerical,Numerical
train5128,Binary,Categorical
train18080,Numerical,Numerical
train10638,Numerical,Numerical
train14129,Numerical,Numerical
train7502,Numerical,Numerical
train3539,Numerical,Numerical
train15884,Numerical,Numerical
train8369,Numerical,Numerical
train9589,Numerical,Numerical
train14716,Categorical,Numerical
train4048,Numerical,Categorical
train31,Numerical,Numerical
train13119,Numerical,Binary
train1809,Numerical,Binary
train15851,Numerical,Categorical
train14472,Categorical,Numerical
train7958,Numerical,Numerical
train13154,Binary,Binary
train17986,Numerical,Categorical
train4795,Numerical,Binary
train6683,Numerical,Numerical
train18846,Numerical,Binary
train15958,Numerical,Numerical
train18173,Numerical,Numerical
train919,Numerical,Numerical
train8016,Categorical,Numerical
train7150,Categorical,Binary
train6625,Numerical,Numerical
train749,Numerical,Numerical
