SampleID,A type,B type
train29017,Numerical,Numerical
train19235,Numerical,Numerical
train13972,Numerical,Numerical
train7192,Numerical,Numerical
train19866,Numerical,Numerical
train31213,Numerical,Binary
train3547,Numerical,Binary
train13281,Numerical,Numerical
train22064,Numerical,Numerical
train31421,Numerical,Numerical
train17817,Numerical,Numerical
train19063,Numerical,Numerical
train22651,Numerical,Binary
train29830,Binary,Numerical
train8975,Numerical,Numerical
train29529,Numerical,Categorical
train20499,Numerical,Numerical
train6703,Numerical,Numerical
train30698,Categorical,Binary
train340,Numerical,Numerical
train21483,Numerical,Binary
train32094,Numerical,Numerical
train24497,Numerical,Numerical
train24279,Numerical,Numerical
train30089,Numerical,Numerical
train29127,Categorical,Numerical
train32020,Numerical,Numerical
train2647,Numerical,Numerical
train5426,Categorical,Numerical
train12426,Numerical,Numerical
train22189,Numerical,Numerical
train9425,Numerical,Numerical
train26989,Numerical,Binary
train26893,Numerical,Numerical
train12876,Numerical,Numerical
train26705,Numerical,Binary
train24998,Categorical,Numerical
train19156,Numerical,Numerical
train13816,Numerical,Numerical
train9759,Numerical,Numerical
train2427,Numerical,Numerical
train20833,Numerical,Binary
train8136,Numerical,Numerical
train9643,Numerical,Numerical
train18218,Numerical,Numerical
train11720,Numerical,Numerical
train32207,Numerical,Numerical
train26597,Numerical,Numerical
train18123,Numerical,Numerical
train10004,Numerical,Numerical
train17757,Numerical,Numerical
train10149,Numerical,Numerical
train24633,Categorical,Numerical
train24001,Binary,Numerical
train8534,Numerical,Numerical
train18038,Numerical,Numerical
train30719,Numerical,Numerical
train4004,Categorical,Binary
train27870,Numerical,Numerical
train21640,Numerical,Numerical
train23631,Categorical,Numerical
train16044,Numerical,Numerical
train16269,Numerical,Numerical
train11068,Numerical,Numerical
train31021,Numerical,Numerical
train15811,Numerical,Numerical
train7235,Numerical,Numerical
train3259,Numerical,Numerical
train27611,Numerical,Numerical
train7896,Numerical,Binary
train298,Binary,Numerical
train23294,Numerical,Numerical
train16765,Numerical,Numerical
train3678,Numerical,Numerical
train12917,Numerical,Numerical
train12618,Numerical,Numerical
train15869,Numerical,Numerical
train20250,Numerical,Numerical
train17965,Numerical,Numerical
train3864,Numerical,Numerical
train6922,Numerical,Numerical
train31424,Numerical,Binary
train16634,Numerical,Numerical
train31054,Numerical,Numerical
train2768,Binary,Numerical
train23792,Numerical,Numerical
train14721,Numerical,Numerical
train19304,Numerical,Numerical
train10547,Numerical,Numerical
train21968,Numerical,Binary
train16199,Numerical,Numerical
train10813,Numerical,Numerical
train28337,Numerical,Binary
train14262,Numerical,Numerical
train14586,Numerical,Numerical
train5335,Binary,Categorical
train20158,Numerical,Categorical
train27841,Numerical,Numerical
train507,Categorical,Categorical
train18472,Numerical,Numerical
train15638,Numerical,Numerical
train5713,Numerical,Numerical
train17743,Numerical,Numerical
train14974,Numerical,Numerical
train1524,Numerical,Numerical
train4425,Binary,Categorical
train27878,Numerical,Numerical
train1549,Numerical,Numerical
train6326,Numerical,Binary
