SampleID,Number of samples,Max A,Max B,Min A,Min B,Mean A,Mean B,Sd A,Sd B
train11663,2002,34310,35652,-30021,-42940,0.000999001,0.005994006,9997.4955943896,9997.5009041578
train14863,514,1,55510,0,-19893,0.5739299611,0.0077821012,0.4945041566,9990.2696167573
train5833,536,119013,40926,-27667,-24892,0.0055970149,-0.0223880597,9990.6432144109,9990.6677706363
train14069,3825,40542,33400,-19624,-5135,-0.0062745098,0.1058823529,9998.6882934465,9998.6399767733
train7652,5497,29961,68047,-62579,-31942,-0.0063671093,0.0003638348,9999.0898668854,9999.0867368677
train7681,2851,415709,38025,-4442,-42445,-0.0031567871,0.0038582953,9998.2502555653,9998.2535443196
train9394,2307,88663,32480,-26804,-41970,0.006935414,-0.0078023407,9997.8265511031,9997.8301591249
train298,1125,25139,1,-12122,0,0.0204444444,0.2008888889,9995.5510463641,0.400665126
train7098,1021,33841,43889,-33477,-18348,0.0107737512,0.013712047,9995.0903199667,9995.1122163409
train16095,254,1,39339,0,-12295,0.5,-0.031496063,0.5,9980.2991208839
train3276,604,1,17,0,1,0.261589404,8.2831125828,0.4395001567,5.4137713392
train11533,1120,51441,8,-12516,1,0.0116071429,5.3723214286,9995.5311739283,2.6912128778
train6095,3443,57183,77580,-24894,-44819,-0.006099332,0.0098751089,9998.5520316909,9998.5516899742
train3418,526,15,1,1,0,10.7851711027,0.4980988593,2.9055880129,0.4999963857
train3814,3327,30269,23934,-27675,-11887,-0.0006011422,0.0234445446,9998.5047285448,9998.4827176575
train16035,6041,14,31229,1,-49024,8.2618771727,0.0004966065,3.8245261861,9999.1751629281
train300,7241,1,49070,0,-21759,0.2785526861,-0.0052478939,0.4482868358,9999.3091778494
train14485,7497,280884,15,-21130,1,0.0020008003,6.2541016407,9999.3243606154,3.8866310017
train7386,1145,32716,44076,-33631,-11559,-0.0104803493,-0.0017467249,9995.6247254632,9995.6284654448
train4049,3980,7,66065,1,-63848,3.9987437186,-0.0025125628,2.3440823449,9998.7380041117
train4711,1503,16338,47044,-272411,-6751,0.005988024,0.0119760479,9996.6722915922,9996.6664137475
train8298,3070,74516,25537,-10499,-375012,-0.0035830619,-0.0048859935,9998.373174528,9998.3798655811
train14737,4384,94661,36637,-40839,-35057,0,0.004790146,9998.8530456527,9998.861988838
train9,7503,31998,75269,-24087,-70800,0.1835265894,0.0013328002,9999.2022469235,9999.3311152545
train15701,3114,28777,52255,-36830,-17151,-0.0134874759,-0.0160565189,9998.3866900516,9998.3889122429
train6331,529,56526,5268,-20387,-103079,-0.0283553875,-0.0132325142,9990.5469087562,9990.5294071618
train15404,688,46091,17107,-16453,-49869,0.0174418605,0.0014534884,9992.750515693,9992.7258596492
train11989,2962,30633,4,-23948,1,-0.0030384875,2.5286968265,9998.3160972677,0.5931356067
train12562,661,40160,17474,-23221,-57955,-0.0060514372,-0.0060514372,9992.4590388417,9992.426675201
train3363,1001,34202,46305,-59449,-32894,0.002997003,-0.006993007,9995.0168303786,9994.7615046791
train964,543,1,119602,0,-11254,0.1012891344,-0.0681399632,0.3017111958,9990.8119947258
train12729,2423,6,90968,1,-32403,5.0577796121,-0.0074288073,1.3906578897,9997.9304811882
train13911,1572,30069,25933,-30374,-42449,0,-0.0038167939,9996.8168094591,9996.8152254934
train12005,3032,34986,6,-32966,1,0.0019788918,2.5590369393,9998.3537798012,1.5823307418
train2475,7114,34650,161681,-41339,-19780,-0.0047793084,0.0043576047,9999.2965363607,9999.2991288609
train11697,3691,7,37056,1,-16246,4.3313465186,0.0094825251,1.1825704325,9998.6386049822
train7439,745,24999,32224,-18167,-13527,0.0067114094,-0.0093959732,9993.2730033467,9993.2947611788
train13217,857,38419,1,-23239,0,-0.0618436406,0.5670945158,9994.190830631,0.4954778764
train10542,7348,27039,19585,-34382,-25008,0.0977136636,-0.0006804573,9999.2728787355,9999.3108420329
